"","Lung-SCC::SP56638","Lung-SCC::SP56537","Lung-SCC::SP57586","Lung-SCC::SP56541","Lung-SCC::SP56553","Lung-SCC::SP56771","Lung-SCC::SP57941","Lung-SCC::SP57818","Lung-SCC::SP56460","Lung-SCC::SP56474","Lung-SCC::SP56704","Lung-SCC::SP56533","Lung-SCC::SP56730","Lung-SCC::SP59245","Lung-SCC::SP57024","Lung-SCC::SP57933","Lung-SCC::SP56754","Lung-SCC::SP56827","Lung-SCC::SP57084","Lung-SCC::SP57538","Lung-SCC::SP57735","Lung-SCC::SP57669","Lung-SCC::SP56566","Lung-SCC::SP56569","Lung-SCC::SP58342","Lung-SCC::SP58349","Lung-SCC::SP56644","Lung-SCC::SP57629","Lung-SCC::SP56941","Lung-SCC::SP57619","Lung-SCC::SP58245","Lung-SCC::SP57251","Lung-SCC::SP56502","Lung-SCC::SP58668","Lung-SCC::SP58101","Lung-SCC::SP58991","Lung-SCC::SP56607","Lung-SCC::SP58326","Lung-SCC::SP57267","Lung-SCC::SP57066","Lung-SCC::SP57901","Lung-SCC::SP57651","Lung-SCC::SP57450","Lung-SCC::SP57846","Lung-SCC::SP58612","Lung-SCC::SP56821","Lung-SCC::SP58882","Lung-SCC::SP57189"
"Signature1",7915.97507689854,10561.2840448739,4483.82929848114,12342.5680304796,2923.71949996306,95.9516942957471,31794.5892546828,21607.8208984382,1569.94064267226,3.69926965940509,13239.7469955555,1673.94670174351,3983.69253209749,9214.66426398002,2360.39125773577,11100.3196303831,4789.4667554273,14584.8974959078,5008.04224224343,1530.34934640358,7115.40593465698,10046.2755172743,174.473102281995,4742.7986200108,3646.07551375153,5391.839741955,8455.25511616143,575.591466915138,1.94302906141944,16808.2409210217,9604.27780817136,4893.95776425019,7734.8564177746,8059.18755329567,3431.71302673749,1856.32514263066,1817.19466404479,20136.881389987,10784.0856484358,13953.4789417671,2180.23282052038,302.863623032262,13.5139212734155,6136.51235575276,1079.64190536567,4382.00467893121,4.57153986338349,38250.8246364558
"Signature2",5454.87663989866,65.7358048503796,23.9265017993859,10387.7856213123,88666.4909504045,408.211474490676,4.15246420296463,2596.86292330646,7178.55452051824,7511.75992128841,25.9037506930629,329.554802149293,215.255138202459,15349.03678444,1220.98150801704,9686.73836343331,5063.30836926354,2861.64480284708,3547.43308910426,3979.28719151542,4893.99949988829,185.224643747308,14264.3177631422,3729.29431540798,12915.8975356232,65.9891334882301,2902.19682393914,290.390386785544,3795.3273190958,221.761841674788,1932.06090319274,7935.93722305535,6626.66924394942,5017.02771429917,594.228219822385,844.774820028881,1018.09606482949,67.6695331666077,849.174280467825,2287.31773261091,598.883812058413,2500.87880447831,13611.8538025774,22522.1846743533,102.199482239476,29.8326505585156,2768.44385271299,6654.84678514709
"Signature3",1234.83084072118,798.886557919144,3791.74989258895,318.164252017108,527.498754223985,729.614174986079,572.741528897607,8.60973834815855,1442.35989895841,1733.96166727148,2588.3807131111,1502.82249454726,2105.29935755837,3760.37719545098,560.773087825529,4393.42863757829,882.850760748797,2044.63562683224,2577.54214915305,2839.10439677412,2441.52906347841,3697.75743076786,8.11450991410121,2575.99033324587,740.113207136267,8370.56510458644,2281.70519692257,1293.55536114728,3.51985456740656,1313.19948744056,2639.9867132452,2901.37007128016,1538.33067931515,4022.62838312594,3524.79914632661,2059.64563964604,947.248839212976,2528.88437703685,1898.02366273234,1258.27966778003,2322.21373086668,2315.17080703664,924.220469676898,119.199158211919,1082.83274659926,1372.78322416915,2281.46684278228,690.163232152419
"Signature4",1184.12931049228,2720.71783700958,1410.6573764643,314.356405189708,199.037968088767,1639.81112742347,344.891853402224,4.94317385752141,2452.58406526477,1232.6491364769,819.703625980625,2073.71788877694,1508.83907880543,716.447581111866,1734.08543919719,1260.29083290695,2332.45690495661,645.310954824187,2507.01745726481,2788.93176620497,1898.41917563515,2383.17745070287,127.554312055793,2119.79694291763,6115.99025372992,2850.59757730728,1555.27208341905,2692.39187337032,35.8703842086407,1994.04318655497,3588.05590589222,3068.2131730867,1927.73941986362,1748.87978427403,4202.45835619435,1592.85444437389,1660.58704891661,2370.13606207491,3529.47267633111,1020.16755597336,2157.00688519127,1247.04173536584,539.018332813828,654.84360765234,3769.2880573136,2040.4820298984,3317.26733086271,2733.19648418614
"Signature5",784.66648093611,1398.27947977915,1812.04889049036,580.443797019909,2759.19029985495,396.691603692583,213.18156824735,7.43315542074003,109.429383230557,886.861082755169,1824.59883946925,1253.33099083602,1425.06349177466,959.854488769419,1142.75146204759,2671.11817777083,896.856683254319,1114.52586390803,1128.56707629499,5123.15921504805,2195.74850902607,3471.37458453249,13.7726855914558,1887.52719239195,2059.14160304528,5752.6974416669,1451.7861154552,196.792944715274,18.5843457595326,944.230003628905,3885.28573159788,1391.59021059781,1071.71749107554,2375.67810353249,4192.2577821049,720.184810996819,631.726776043042,1656.26148222587,1638.94224837221,1082.16434731703,1116.00962300008,1886.24396015623,639.937546503663,489.7829690383,1230.97963812386,689.176470983435,1975.72122011172,1102.11769433725
"Signature6",5994.19111067939,4878.05990994881,1431.11826968422,7352.67130610944,18408.7146699454,21.4922174894509,14477.1290784097,12004.5133286808,3526.1130087834,181.491460449627,3382.93615724479,576.061434364812,1602.50012735659,7116.16806715605,1115.36984454449,7535.09247892315,3281.79655817616,7391.46348986386,3410.00246677118,415.3780235127,3746.3370864385,4248.66117040025,2935.13892761811,2642.08680399515,1398.56804156354,1114.4543270804,5337.41150453321,2044.14500511932,4.0580972401706,8586.99544488134,3215.3530220013,4201.65266875666,4878.45872592231,4717.42701506416,695.639576795697,1792.85343952726,799.959935573747,8076.6343600062,4209.53093239249,8564.63603130379,2001.63111848236,486.549310432428,2218.11746488545,6636.31943929429,21.2582659687546,1078.82562136227,15.7527743141523,18848.7176876949
"Signature7",2659.7880323946,958.738958166093,3332.1730690625,1545.41309888035,10154.6090752239,52.4378973565829,665.782872990658,12.6458936437136,19.3238464131554,18.4953590431793,4842.54601152273,661.670821086662,3183.07175249132,1356.38726462979,1058.06046083957,3302.39501872488,1190.26749116281,973.970511521616,1890.96885846015,5175.63878083615,3219.24447674012,4140.92750869458,8.71934358066406,2575.89236998053,1668.78683175737,4300.7654785682,2049.13043416571,32.8906730496923,3.31482224006117,1921.84767017886,5011.16217204427,3009.75489313828,1391.85223244926,9310.94397923982,4958.42032836666,646.63524004699,822.268400419114,6550.27001283651,2462.20319313537,3262.01335929848,824.344517581857,1675.14276119946,124.356757163678,2936.53191503056,56.6027390733041,1032.20435794152,947.462728658165,7190.79397162727
"Signature8",2867.51479170471,1988.74076355539,4346.89940420731,282.299228841022,587.853545766659,2699.95902802683,184.702506458985,9.00629369315313,5272.87804190539,1700.84402684959,4202.05011364117,3371.62330744175,4492.39961161397,3353.61434305775,2993.10587181112,1109.28011429898,1376.27764927551,521.074349602993,5638.36190858248,3965.38110101197,2237.19709322411,1903.05114862453,1798.58684746471,1822.67950091787,89.1942411729968,3379.61379453358,5203.58398034089,7059.57947238479,71.6099766832349,825.862162425779,2889.37329175287,6432.23585565994,3719.90635251752,5413.06830766005,2928.4007795659,5163.54131023836,3152.16472014409,2535.54219953135,4239.73162982162,3140.0712136281,4062.5625478113,1720.44796781183,1503.77571210872,2655.48918720702,1989.54681216171,2392.34233246971,3953.87136106576,1122.94806080879
"Signature9",569.879281460826,1765.48478213714,1883.90234134171,610.160367673782,119.590556763538,1067.09831713635,1181.85510233277,103.893883407595,600.344086835897,261.475344542973,426.80439531336,1257.03285998911,1166.3156202789,422.98018240751,1105.36487439505,1706.69006457311,1406.70789727382,1046.13942941985,1368.76869275593,1505.30495533829,1312.17040025082,2434.20804388506,189.466937542233,1455.58570862804,14940.8459160175,1964.25753690255,1284.05655222939,1938.59074061481,25.9893403797115,2026.42174851654,2120.01633319935,1214.16112407308,1156.90298358512,794.676851920883,1373.81540437079,1325.85030919162,1471.11066643911,2065.15787542751,1403.38638627771,1371.77421867481,2298.18343578022,834.648658130243,188.299644397408,566.653121527935,5501.19465662212,3947.53232846294,1435.45614476188,1294.37725615383
"Signature10",4800.0506362019,6281.59120159445,3445.31141746082,5434.42298407571,911.125385709684,67.741891117297,19506.7776534367,13234.2561470843,909.739420826693,3.54365252735834,7160.00598457852,1494.09662024917,3486.1065718936,2860.39172834669,2214.52489390162,6398.53020329206,2454.53372451078,6409.90569757443,3349.13106110815,727.823769797273,3487.76150000619,6322.74621968218,83.5566785125738,3024.67805964609,911.549505790473,2109.73513979118,5308.12540184972,3823.73087803495,1.86056927057749,10048.1137380813,4786.45800787448,2631.29462521192,4439.86129296087,6406.88455741589,1650.07821857327,2934.63441862681,1418.68348722786,10714.4390298837,6462.71022205911,10995.915501287,2670.91396194558,371.145934676143,25.3542502823079,2958.32656669695,246.37581942747,3376.14944323276,5.63466035465198,18299.0486199222
