"","Ovary-AdenoCA::SP101845","Ovary-AdenoCA::SP101682","Ovary-AdenoCA::SP61553","Ovary-AdenoCA::SP101724","Ovary-AdenoCA::SP102103","Ovary-AdenoCA::SP102174","Ovary-AdenoCA::SP101622","Ovary-AdenoCA::SP102161","Ovary-AdenoCA::SP101654","Ovary-AdenoCA::SP102074","Ovary-AdenoCA::SP101694","Ovary-AdenoCA::SP101616","Ovary-AdenoCA::SP101666","Ovary-AdenoCA::SP101558","Ovary-AdenoCA::SP102096","Ovary-AdenoCA::SP102084","Ovary-AdenoCA::SP101580","Ovary-AdenoCA::SP102064","Ovary-AdenoCA::SP101564","Ovary-AdenoCA::SP101921","Ovary-AdenoCA::SP101648","Ovary-AdenoCA::SP101628","Ovary-AdenoCA::SP101708","Ovary-AdenoCA::SP102055","Ovary-AdenoCA::SP101634","Ovary-AdenoCA::SP101588","Ovary-AdenoCA::SP101584","Ovary-AdenoCA::SP101686","Ovary-AdenoCA::SP101532","Ovary-AdenoCA::SP101732","Ovary-AdenoCA::SP101528","Ovary-AdenoCA::SP101536","Ovary-AdenoCA::SP101576","Ovary-AdenoCA::SP102015","Ovary-AdenoCA::SP102168","Ovary-AdenoCA::SP101716","Ovary-AdenoCA::SP101592","Ovary-AdenoCA::SP101658","Ovary-AdenoCA::SP102045","Ovary-AdenoCA::SP101552","Ovary-AdenoCA::SP101519","Ovary-AdenoCA::SP101690","Ovary-AdenoCA::SP102123","Ovary-AdenoCA::SP101662","Ovary-AdenoCA::SP101600","Ovary-AdenoCA::SP101544","Ovary-AdenoCA::SP102133","Ovary-AdenoCA::SP101881","Ovary-AdenoCA::SP102035","Ovary-AdenoCA::SP101642","Ovary-AdenoCA::SP101596","Ovary-AdenoCA::SP101670","Ovary-AdenoCA::SP101674","Ovary-AdenoCA::SP101572","Ovary-AdenoCA::SP101678","Ovary-AdenoCA::SP101740","Ovary-AdenoCA::SP101700","Ovary-AdenoCA::SP101891","Ovary-AdenoCA::SP102143","Ovary-AdenoCA::SP102113","Ovary-AdenoCA::SP101521","Ovary-AdenoCA::SP101526","Ovary-AdenoCA::SP101540","Ovary-AdenoCA::SP101604","Ovary-AdenoCA::SP101548","Ovary-AdenoCA::SP101523","Ovary-AdenoCA::SP102090","Ovary-AdenoCA::SP101795","Ovary-AdenoCA::SP102187","Ovary-AdenoCA::SP101515","Ovary-AdenoCA::SP101931","Ovary-AdenoCA::SP101610","Ovary-AdenoCA::SP61703","Ovary-AdenoCA::SP59707","Ovary-AdenoCA::SP68659","Ovary-AdenoCA::SP62616","Ovary-AdenoCA::SP59761","Ovary-AdenoCA::SP66960","Ovary-AdenoCA::SP61453","Ovary-AdenoCA::SP63796","Ovary-AdenoCA::SP69155","Ovary-AdenoCA::SP59950","Ovary-AdenoCA::SP59938","Ovary-AdenoCA::SP64976","Ovary-AdenoCA::SP64296","Ovary-AdenoCA::SP65807","Ovary-AdenoCA::SP59803","Ovary-AdenoCA::SP66159","Ovary-AdenoCA::SP63356","Ovary-AdenoCA::SP68348","Ovary-AdenoCA::SP62450","Ovary-AdenoCA::SP67428","Ovary-AdenoCA::SP61713","Ovary-AdenoCA::SP68725","Ovary-AdenoCA::SP67609","Ovary-AdenoCA::SP62110","Ovary-AdenoCA::SP64546","Ovary-AdenoCA::SP63546","Ovary-AdenoCA::SP60322","Ovary-AdenoCA::SP60243","Ovary-AdenoCA::SP63966","Ovary-AdenoCA::SP60362","Ovary-AdenoCA::SP69077","Ovary-AdenoCA::SP67346","Ovary-AdenoCA::SP66687","Ovary-AdenoCA::SP63716","Ovary-AdenoCA::SP65376","Ovary-AdenoCA::SP61343","Ovary-AdenoCA::SP60001","Ovary-AdenoCA::SP59860","Ovary-AdenoCA::SP60610","Ovary-AdenoCA::SP64036","Ovary-AdenoCA::SP60842"
"Signature1",1538.71927798803,113.27525505161,15.3889462903935,1216.89663543029,241.78410355983,131.051432069941,1215.4765834103,153.734107912994,768.635926189762,113.404411564027,389.646425134071,1276.02491287578,608.099409719599,519.278872672138,149.0290124764,524.809836260516,535.401973509996,583.478893643584,86.6117864768398,47.2516241164822,709.744836049233,508.253960472247,355.722420844103,126.956810516273,373.01863711683,141.170519106817,208.779408663275,244.997845056673,448.511825912236,1513.5470961835,566.902670790801,22.7332982002771,219.486743637837,1054.3345232575,144.691594883336,897.306366358018,418.824658807334,23.6369620370875,1565.73285856463,1632.55958896733,482.708237487391,1013.43822735328,38.7518985705458,642.410823316568,64.2501028389783,315.540822180359,121.269053127172,856.874240158604,268.189736083288,1055.51895879737,163.071289810624,934.559949980389,644.068659068595,32.3241323353606,938.032967355093,2078.57058109695,451.890469730323,1441.26113305328,350.345487314121,342.807373721249,115.463498757389,21.3567994594182,16.9868903686114,374.728775391634,440.654154292811,465.292097551117,196.451811031286,803.840870350569,832.044055983869,359.612179513372,272.38546048298,801.651470483216,276.19450399004,27.2941802375996,342.944105886191,1330.073149156,302.386563136201,65.2567516182408,56.6826242780505,161.366780119703,173.110441503572,1536.55819121623,646.38533196861,470.329728706903,1332.64947033788,737.668779078296,283.606411577303,1152.1648741394,444.809252067496,435.094760340332,37.0464765988164,349.448401385749,296.330424359526,419.25003628674,1189.05913935241,105.369024876433,351.799735105906,517.236309630093,263.698717410822,399.370513161435,88.8389773968637,199.085790575619,1275.63849965049,685.277573441227,729.76200433196,189.347916600442,1268.31301921696,178.627201617702,809.550284535164,125.485130438977,58.9809714555273,504.155330474461,572.391120152573
"Signature2",340.094728426036,1560.77468835183,819.145125741548,649.003570248993,858.83861957395,662.509517377673,51.6559185115661,557.62894981914,951.392038847137,797.284842894006,1302.02617109273,273.306993790612,337.586409196072,258.846129404607,1236.36059886271,651.784249430601,357.533495551997,78.2660855526577,332.119221422965,602.227776425101,250.285136241403,1137.92148048857,707.396736605354,596.648010341128,101.845620088133,988.740094580965,1342.3519635152,1258.01473809105,280.921780269045,42.3598645374953,298.496054829257,1270.66327502361,656.539739226788,116.995194240986,974.954225624572,933.158078901366,822.510830865095,622.629056965391,356.748696954569,13.6457431259645,693.800387359001,741.151151326864,234.988917539135,301.40421214696,436.35590302389,1083.7652371379,779.213356701929,443.113895861953,459.089457457536,30.0385926904739,839.347363544683,565.929539802373,108.390380779334,1221.46742307164,513.799846429843,77.9169163857736,255.478268613967,436.073000302291,256.0879071807,245.909639699602,874.288852459192,25.3544271127793,1436.07723132022,417.158901116825,517.870831571547,129.202566026406,661.790190092203,63.9396143863061,28.0861079835982,362.87089961257,470.810714277469,38.8558363327443,1108.29064947759,672.087027486645,326.649565491611,264.294007119537,623.845756302659,1151.35359842012,748.854735841799,694.094758546919,944.484769464022,582.337023637677,38.3559546248033,511.51088710598,75.2206600062609,238.882896334782,1329.76364870048,250.100565566116,931.298017502175,239.15279790573,640.409882672026,309.172869319634,298.88113370414,223.381139440164,274.04761893711,1595.29849827859,223.587115692289,656.177481863336,62.9816985632906,402.519004791629,1461.6078264287,777.162499064806,101.269967076807,993.244462435804,962.823109818311,479.914273082938,221.61323263662,848.853323471832,297.711830674317,1579.67707273739,560.530833216162,254.446713309164,338.163824466653
"Signature3",962.434855577391,160.038578830077,11.3209272489252,2083.4446246115,695.821988481924,296.804282388741,995.609274762253,652.382475419341,559.671769260311,193.630465675358,1305.43233883818,1392.65549251771,666.210681849089,735.433624352477,34.2432101960472,350.899016586922,612.453516977967,788.221157765152,156.93786454176,47.4055751195039,717.429957961255,399.642817618069,349.729296944219,167.499097903911,929.884641142067,132.107944439775,221.941152705434,251.42996411084,537.902773151611,3192.32498807432,835.84521917396,151.53509562018,150.115602225715,1229.0574085715,202.118812639116,523.130930698845,240.192464462513,120.072523149006,1659.86392696554,3179.78985430225,325.652494230753,1248.98154247157,12.3519507325562,608.472785032361,44.8533971454336,287.39106067739,56.355355991658,270.667765922676,351.173095870159,325.42023714301,83.7140516157696,1261.72662110927,690.659218647462,51.0745786926728,574.734081182473,557.306861772461,711.907387615384,940.116373116682,907.075456684078,409.395344485844,37.8982554870471,48.7929126046102,8.84199693722264,451.05539866689,631.192867874855,110.853427827717,58.245950139762,831.405587080525,1485.35739022673,298.790431584784,207.92386068262,1231.24337955625,607.21495425384,15.6859574705712,787.861177950414,1897.28460406471,838.38483407049,59.5811916688844,89.6468854940363,358.161869272596,86.0491917039764,1689.53710844535,776.321000311682,772.956311204267,1776.26074863685,2137.27850853805,174.373241295692,2284.72443254443,286.399073317724,392.718904575615,46.3096432430194,641.024325768047,340.334170292838,510.076501239133,1237.36275875349,393.920787011823,360.626830724553,918.389128304433,75.6142065766666,782.701373091879,20.4826753648504,271.157575587619,1490.49012224176,551.319011318905,842.668396772364,145.566008828843,926.89368068748,524.815602715568,1691.97426702315,708.082831371794,196.720018246935,806.523923825657,1146.03405783057
"Signature4",1209.5442733356,54.1363907446655,16.4925557201956,487.151443534941,99.2618129944077,268.533897381187,685.970061747396,300.376321026228,193.030191028217,100.844492455534,194.328383851303,95.561285547165,485.458695334647,435.702920581425,62.7696467683363,228.703428521517,305.307284671208,372.011700410102,36.8658418974427,124.186406676978,421.142544165585,240.632281021931,106.903864609945,59.545692540403,496.815874288679,221.040435560068,292.284248771218,87.1386973389356,1027.18598709114,527.674043778055,426.239001475295,123.075655548551,207.37340423112,2181.41159011205,124.834815635604,485.872611722921,233.39696329703,37.8409435976129,2589.86086956317,596.123326226941,497.781756967562,324.854923113093,13.0180409463132,341.874165193853,68.7625233657212,85.0124075986139,64.5648373670864,1405.3034016328,544.091126650673,1822.66544820721,80.9765963428907,666.817708160561,373.61014096948,48.4945581142239,960.540314329606,2873.49060883281,429.022626496594,1090.01607448037,981.28716652833,375.699977307643,107.401061785164,55.5510440672908,31.1229327198886,362.089462430502,488.062754044807,558.342614742209,97.6409340924434,376.71222931681,373.317874504395,460.851042389087,445.947877023338,123.872414110621,103.929947973837,25.3571420578835,447.16935303486,482.321530705547,219.676502980799,188.786461451806,67.7466467333125,108.87913833739,40.1973974160535,425.053037835439,215.337722810919,303.33076267047,351.492914415449,596.012719386779,62.1317692394921,159.106014855288,109.877677413365,669.757920443094,91.8623599922976,229.917619119979,254.85666243269,196.901053023001,628.394719414027,96.2497608463381,221.683794503007,168.371431073904,442.09058287641,320.521279305444,45.1954543550176,49.198123190416,842.677646796631,289.626128066051,99.0869768071691,142.992942061455,736.930407627775,43.3214722901944,486.096953050045,171.709662863042,70.3743331635565,439.192085368398,266.055435820895
"Signature5",509.212417352504,640.532919224365,359.265456300063,1999.42556677028,768.78699351038,58.3892959044827,627.711158683706,538.174590897742,1189.28661424485,483.58206927359,1097.42702670577,324.271305048397,500.731199032208,552.295523681168,598.628465052236,1085.38919322118,821.328802804535,703.149904591427,107.385285168743,1114.89352765625,792.730093653675,660.484231837255,715.630697363685,513.941791459082,548.237653392402,308.519707151961,503.437746925502,695.392605816716,1130.02907475107,3625.63091392041,517.586585963962,168.830768487493,116.813799399904,455.718357704752,516.350340829023,1213.78873306421,260.156554060888,165.663713443313,1210.52983540403,1208.19218338336,412.89380711519,1528.31611957009,3637.49563568975,168.014364365513,403.865430960108,875.692858610987,76.1931955849387,232.711737330463,328.83323330025,59.3082524211862,230.60689779481,640.416836488197,159.148444425835,408.101470697766,242.023387172985,214.750126875313,629.812626272521,1059.70414191854,519.871803974142,58.7107169785065,217.087798564051,17.4620153862522,859.281649386364,325.868348935073,351.085623869709,142.889925438848,978.662281886978,909.685845167539,127.022002074849,215.161111718277,650.402407069942,1069.8102830578,1295.85076945402,552.616318318413,637.797400408145,1354.16144610487,450.412161504036,529.675484681422,544.11646763601,400.701141688302,378.260694814949,1229.18141378801,559.425545823287,572.011149957257,1577.36441562809,1075.71610191209,785.349995031259,1453.55446196959,702.653190878423,678.104671761784,85.948421507578,549.496636030637,285.894753363668,533.24747664823,923.196963797386,1780.05347165174,118.80728985836,431.540566486645,60.449185084323,272.961605383883,854.919971929755,798.299178577289,438.539854923794,1080.9430611528,544.688882218659,567.287644721946,888.539855468621,679.902822295957,568.066772345104,1307.56137752543,260.796748907122,691.765383046358,1165.52356884756
"Signature6",164.486308160143,1698.27569000072,697.805460873506,211.473351750376,977.24964703017,612.192454398011,114.546755027203,850.412857012242,636.549310813606,939.491904530399,2098.02703129984,833.911630388095,443.031450120369,243.430255767465,1094.33904667803,1233.74719099249,744.643027943394,97.4978112551906,266.218818498406,738.573528951457,317.012956756879,1036.45183357783,619.44554291068,541.705628346775,162.316077026827,1059.30627246919,1274.56087934785,1239.10286067591,565.599919519213,36.1992633537734,676.933225698127,1009.11875097214,855.930433094831,27.3010103428959,831.975387020672,1230.91516699998,830.978094187402,433.628331504672,133.253361943996,23.7545850920017,188.687334066226,1532.03477636717,418.29406586247,306.229549445903,206.376057068586,1306.79037481358,153.446436841176,43.9578285346485,198.914673448386,25.7461133208399,839.136348860939,719.746203298649,42.5084748530562,1100.33997873711,444.52434548432,80.2559806047374,307.580099531699,492.518686776303,335.057913464388,142.368177731331,679.626415062235,73.0258067738863,1356.44313633235,529.140499130882,400.343948995751,361.195724169741,1225.99601383341,91.4704835903599,41.5502183513881,240.309918875492,488.422110966723,125.512771293012,1308.65302977187,407.24353048213,117.003898919679,235.723885453783,485.969963578372,863.393424008096,914.447123999199,805.20512481728,1061.66962548548,978.60528879317,52.02160414859,624.346299544107,225.458921261251,404.059434952547,1208.40363217663,272.873897955214,711.530634520556,190.580496956705,743.840045736161,243.413420700283,583.932966597663,361.921841646026,530.34998339061,1742.81141967054,379.223479889178,746.069959359716,216.574847942631,130.003061495663,1383.69626483304,729.481643005223,208.409389279815,1782.18873629795,488.556947249959,652.138070590781,456.997579371126,1060.16795931681,286.886632257555,1553.15249955039,680.806658776991,271.530920099396,328.253230262745
"Signature7",1417.49197615511,201.965257869028,41.2647798369232,2296.40220832404,167.395575302027,173.16048838763,605.958070012843,102.463684847298,575.088593826583,104.616047904075,486.306126293884,215.326690486024,656.774938874828,585.63168353859,123.679373836913,253.923567879244,240.012052656463,516.820563197195,120.364576191623,270.38014158522,342.966566404409,233.768504747503,254.65577621294,84.0836575784062,535.520159870035,95.7995049134124,431.023266170454,174.877359998848,442.633253615527,2468.65367732983,685.167386323185,109.469324806058,135.591135925995,1671.43690539615,320.309764205186,278.53559996051,129.047202394343,86.7254299065119,1976.96637874319,1518.06940940799,271.992774773218,758.369254186079,18.3576179509221,576.915993368024,145.451202435776,224.827567817064,113.181463732474,1239.29424842131,502.319442972649,169.745934791283,101.128121072953,1080.29682236048,321.499939862017,71.9416032963741,777.8147876171,695.867707580727,582.154815740154,347.453650083103,1148.73129371141,319.857002760039,124.882465955429,13.4672200842625,29.8751284414297,386.858100863276,563.700359104647,224.256201822275,152.478636443162,752.422856716866,396.894878716093,321.724703934808,302.722879367976,525.035677214216,528.927730159946,29.3697000243773,372.85542047188,996.141284236354,123.805169451919,242.899668814747,251.183734677977,199.287404775674,183.097583742273,726.942061016664,628.683388224976,425.037026924308,1168.79051810146,839.266802947226,122.632379524723,552.418597012846,527.637258170168,394.273264387044,146.042763440783,786.159811270564,617.031598348066,475.407741844776,579.635902203602,362.801162265238,130.614610807824,278.044163742306,28.9709632453218,229.92007450409,145.015522546879,147.024775868972,641.851477297949,279.717476401459,456.268404538038,271.988615226747,798.42636611234,149.324692901866,401.442775731153,290.110455316495,84.1648379474961,737.894961109223,566.180231956011
"Signature8",479.062118838687,180.098378323105,292.441406360116,78.4941193363086,142.390651450081,922.588855183793,351.311553492632,278.590695497094,959.039301484434,392.762050783533,769.574739650802,818.212866775464,235.33886162264,131.627157602457,190.610445802863,160.262864351043,310.468721587787,116.757211696529,52.1776547117005,8.08636075087356,84.6611412998278,559.250977070553,171.613366008821,97.1000212637497,314.608601351726,532.346287437842,172.061703830215,308.740246013489,79.4915138519882,23.6101514940763,150.725348226813,251.29297038395,777.701344596123,344.348215281761,88.8658826489365,1443.17902590467,633.310024419284,36.6628068048429,292.06795572747,284.001621830142,1161.37352576094,348.73903236607,206.885413852444,346.046683349228,148.125279997431,202.662692702118,31207.4319281992,55.3048965186314,222.340241936281,998.711867252196,482.964157153645,376.876082443357,358.21037942461,33.2328165553855,565.445927232576,819.323329357118,119.641610227984,618.249280411346,119.311405262789,107.742556474451,461.214538292476,62.0471258494975,13.2295017250749,219.784038441816,313.079036578171,239.204235386905,320.193865733491,182.041054038357,508.953627431203,160.289054804426,459.03525732331,72.3087169446214,542.569652828923,55.6242995316461,208.687086477129,373.854027817065,378.197447846161,127.65157034531,141.28245827605,284.568907807166,23.020901198983,1078.80280447677,109.214644186943,739.216722227874,168.074883541559,182.769616480114,767.638782093544,317.752201898193,240.975713375777,234.973394380079,153.95411735821,96.6448423406332,143.201252108217,74.665376475966,265.694772883778,114.459337821637,64.9513409734704,685.387071488405,62.6559741668897,311.914156817551,184.958520437985,153.097180028477,376.457692919555,154.409199296944,455.989536763584,207.198080149283,262.543414121163,354.070334835691,295.665391673637,322.206894220623,256.364367646227,198.782001402133,112.02945451939
"Signature9",483.703246280147,93.2676952022567,11.9409258026037,158.160399199817,224.660479144232,1023.73901733107,581.284488239389,182.452287531464,410.505092777314,261.970039982047,358.131993208913,1078.82486315181,329.005603764271,118.856520365968,365.128155765688,169.074759823383,90.8555047530709,305.533015659068,335.375874817516,258.334341761132,120.196539686117,349.51652590791,165.40598268792,97.2960624323599,387.17658450958,483.351260655134,405.566465389751,149.933641853632,148.726286130372,51.9617753596301,224.447098645113,221.643235287063,860.755900549112,1007.67811547322,82.7569139478121,897.276544516318,797.068743174609,54.0559437790287,518.646304501334,362.938420221513,208.555369507172,556.468439266171,10.2765719126565,172.203022858026,90.7627574267467,78.6239844874511,57.6973262547156,375.331696147883,320.164879175047,2358.4808935546,354.038481937637,501.775413087721,118.604202415357,57.3555763764576,1122.0835489041,2016.27448016019,255.287597245798,601.756822018346,694.190021972575,399.881462694703,559.907306797316,1157.93036261784,25.4541022125958,447.808628082453,202.697265769522,394.47863017041,581.892165576338,229.079219888638,835.337221144223,342.186533638697,1901.54188881381,193.272838287232,99.5575820781235,20.8491815524471,108.350733341072,353.876657274502,205.046692297614,173.844623946552,297.484254983445,294.938299159183,119.201082376298,1344.2207272916,181.308561277354,189.501717995861,210.539048407706,220.851418306789,821.584054625981,124.8627825823,400.413182369895,461.636940183245,278.402251086307,66.9139753995405,447.621992299432,96.4241156045149,467.342141927256,253.231658840885,246.054435307944,473.914161073059,581.354655618039,144.273145697532,83.4151448433994,41.7853639436176,892.072122637074,594.500329996164,177.683212880959,68.6189495910304,832.133432000076,58.8771701183021,863.96844045215,277.372367489034,46.7499555386157,252.246724447105,188.116022902811
"Signature10",284.700147688055,165.277393464524,38.4064003316402,42.5025070794596,148.338182149176,1197.61447466381,107.24458913122,593.240530540253,130.680664766743,517.694741541465,1065.14247134829,198.28661086707,263.837306481482,103.146866393493,300.805923427893,422.33173055463,546.23401492069,369.084506708123,1024.80054490501,564.237069331843,255.369764803177,418.723590746374,161.939870532413,189.752369691951,601.101988069119,703.326947665915,427.145354895227,299.277421523689,331.843107766606,38.8955964304256,182.980713352871,173.060359649715,1568.84788559083,444.482578703258,184.79384371527,904.75857980444,528.676045175158,31.0501303766415,141.45629950356,105.995625505711,108.047131719193,947.990996780936,1127.04223349458,336.708483588874,121.470805162055,273.579407513026,84.4613895135392,38.4015657678878,523.163625730485,1299.29063846594,313.939689605708,404.856345289001,227.676597825535,277.002916323273,1269.72142243021,779.362999425155,523.685566040227,490.919692367958,670.983832603644,565.705990007257,732.402102964251,3525.78936033072,561.703177046773,520.90928144187,353.051758206313,617.928075296947,533.840526567172,692.923266376105,339.904876635009,529.31675724941,2491.36094630381,231.676522402899,184.784630437278,31.092533136706,275.882642203291,58.7508948901438,394.526315926043,200.08405627316,523.856775312057,538.392406153103,171.514920152105,831.143822176645,908.948546833672,140.25809391485,102.74125068379,389.48813005441,206.366188174695,119.81144496365,196.335878454817,816.726110367319,264.692065262352,383.784542308446,726.263516887406,39.8722850620485,246.227265846025,577.454036459003,462.552262054129,1062.49688371845,755.097362745249,371.963030498252,754.635390142961,226.220323880588,970.65906359445,547.467676462177,98.7374102533013,207.612211770708,918.509000685223,226.684598971117,593.422685868672,497.022520423142,212.473033962996,521.083730524064,416.072270864712
