"","Lung-SCC::SP56638","Lung-SCC::SP56537","Lung-SCC::SP57586","Lung-SCC::SP56541","Lung-SCC::SP56553","Lung-SCC::SP56771","Lung-SCC::SP57941","Lung-SCC::SP57818","Lung-SCC::SP56460","Lung-SCC::SP56474","Lung-SCC::SP56704","Lung-SCC::SP56533","Lung-SCC::SP56730","Lung-SCC::SP59245","Lung-SCC::SP57024","Lung-SCC::SP57933","Lung-SCC::SP56754","Lung-SCC::SP56827","Lung-SCC::SP57084","Lung-SCC::SP57538","Lung-SCC::SP57735","Lung-SCC::SP57669","Lung-SCC::SP56566","Lung-SCC::SP56569","Lung-SCC::SP58342","Lung-SCC::SP58349","Lung-SCC::SP56644","Lung-SCC::SP57629","Lung-SCC::SP56941","Lung-SCC::SP57619","Lung-SCC::SP58245","Lung-SCC::SP57251","Lung-SCC::SP56502","Lung-SCC::SP58668","Lung-SCC::SP58101","Lung-SCC::SP58991","Lung-SCC::SP56607","Lung-SCC::SP58326","Lung-SCC::SP57267","Lung-SCC::SP57066","Lung-SCC::SP57901","Lung-SCC::SP57651","Lung-SCC::SP57450","Lung-SCC::SP57846","Lung-SCC::SP58612","Lung-SCC::SP56821","Lung-SCC::SP58882","Lung-SCC::SP57189"
"Signature1",4487.09312611924,347.644598620079,4249.22309761239,674.899248723059,6579.94191181889,193.798290110558,214.504897928929,1.08671437112266,14.4344097679907,0.310792326444043,526.786305810831,1490.57474498434,3540.4368764236,3855.74348532996,1581.35264389945,35.0862774256041,1231.42217630131,3359.15707076796,1987.69873256129,3969.78942517184,3026.52570282461,2418.75353355565,7.11446924013249,2295.60628246772,1344.94844160756,41.2478713494522,1075.49084250424,1149.83175403966,1.69218665795952e-10,286.717711071547,2486.11539816354,2860.65920834049,1019.26726861226,3701.3981214263,1936.10183559743,1157.79883405465,1208.64805761989,3199.16882410444,1021.03857065263,3734.32939007351,2013.78125427628,1763.82425709285,1010.40322685704,658.739492025721,198.854658282945,1173.23466284937,2473.22574674437,3745.39293307378
"Signature2",4413.73041724042,117.156063111478,548.393290068974,7231.49652494012,39592.2268160049,346.701571737961,396.525543575577,2278.24575319256,795.778732848179,1.17349477677817,692.27372873392,440.330093223362,97.0666715225008,3192.18537580464,1351.47275038077,2447.56511130624,3181.52641953793,4476.52042923574,1337.79463744599,3.86873113412543,2778.76891785733,1521.18712285587,5961.89269220472,3169.12447528664,1658.48712378261,91.1705990344474,232.061605118249,201.427389996268,1918.9950422762,1928.06019721761,205.029001939254,1941.87601413646,3659.46927901263,388.500287967377,357.690794676225,693.935132520881,17.3922474920339,2323.96175087844,1604.32537326802,580.40805406055,361.308735891855,278.071846373451,3597.47143489167,12485.3870845867,179.724656024511,39.5030711253522,270.918636433967,5003.34193460757
"Signature3",1548.42187433952,1905.43099425782,2145.87238853691,640.661788499369,47.9442147321005,1193.41104486419,462.939056944054,32.9047266691213,1435.50173620088,946.477720377177,23.0048006792714,2285.2421641101,2772.79837390849,719.118073810116,1498.56467010181,5873.92172895484,1908.95845711704,1050.48538097772,2333.78426793194,4158.13431551132,2908.70856380262,5862.28567217953,866.105672159674,4794.80120859754,1492.84981690809,9308.78448198673,766.856214344217,3958.23821263107,1.69218665795952e-10,3773.44361699728,5354.4548422969,3593.71422263585,1813.45971047153,2223.30465149544,5699.82002347255,1777.57495988203,971.364305900231,2592.83398003466,4027.89769209266,931.408546556657,2435.12386923993,1734.68014718812,1212.40600747555,58.9011907207827,210.731602391942,975.698618501552,5429.90995692278,1286.284878798
"Signature4",1068.62925169998,1346.67951688401,2885.12604123162,782.966233770105,4328.74836443674,1095.2661036625,3088.07073390843,0.839553702317932,3965.44266145221,4337.01882988574,2029.85103945012,1616.80536064399,544.294429921509,6812.63305997909,785.599394850886,3572.59365663844,1229.25422916695,4866.69635150994,3253.10382675013,1689.15432711873,1534.82685792183,3535.63603115117,126.444494888523,1559.3899141153,331.859837119024,4563.29356882955,3580.49777461217,2384.45919264385,1.69218665795952e-10,1946.70263718861,30.264653746173,3559.37278720939,2603.2090291515,3202.86189617907,2508.212194329,2199.19773942044,1253.32371148186,1548.54160843926,1406.57720466734,520.451213962795,2566.53886900436,2420.81364289674,1728.17465379369,1942.95680027028,2524.97608589285,828.257448334783,1794.73564528917,78.593032124864
"Signature5",4627.23752506909,4391.51385150346,1829.63599633296,2715.63867427984,3722.70091973182,0.0908075270214382,11284.0490878634,5172.52331681576,1045.73813286852,0.000176735349125642,1798.32788301807,620.035851526284,355.686046101381,48.1473640938055,1702.95772623367,5023.77696953238,2783.05086770002,2577.21157870693,1820.68433954089,1676.47721426031,1881.64429608999,6803.94509535518,904.718941961183,3126.66409841971,3515.83584475208,149.830450951566,2980.71760361839,1640.96591013399,1.69218665795952e-10,7465.62343302878,1831.16350812332,913.860738715197,881.834325573292,5444.0088585001,3990.89538558027,721.499137090906,899.16718488768,9716.80006437037,1209.25322212476,9916.47652100915,431.086006135989,994.61842863773,250.500551793559,6123.60619366081,31.5491571269338,2124.31716835005,1.16990060658588,17227.5755611257
"Signature6",3478.70442400864,3999.97634037079,2729.90998395515,6683.17855372607,1469.61404090317,119.20471259606,16832.0070797528,13070.2196142114,17.8780435884978,3.03232425613934e-05,5150.11835831059,1238.70198340168,139.449281520952,4424.42743084461,1450.10425712286,4094.69176878912,1738.008828792,8265.73163634157,1924.84148959795,1271.76827613987,770.200890196472,5275.69984287601,639.866186171816,1384.42668806993,8607.50412443752,1061.02122474438,2882.98295623526,531.875701098401,1.69218665795952e-10,6439.83819534564,200.326403656718,2524.7507875746,2912.69072702352,1872.83122048254,87.8701793426065,520.223435569766,1031.50105090696,6478.91912886373,2516.70214081672,5858.22523680558,1256.1900844664,195.22667500696,692.300991363779,4898.28592675003,3421.52203149852,2841.84877837006,273.128239099504,13906.3084214372
"Signature7",2769.067087124,993.816270393858,1115.62899754152,3086.50497908214,13484.68149549,68.9117022816803,8866.89136257785,9021.99591554879,1187.9168842098,160.371086982602,2149.11480580544,473.877100565941,5213.85817811057,3860.7376888702,142.932343901546,2031.83194402738,734.849711425701,2137.64522847414,886.103261956285,1493.0985646565,3795.16182554652,4036.17789006473,189.078778013855,1537.56772811228,4783.42300018181,5785.71790765096,1008.06789431885,0.664175527274199,1.69218665795952e-10,3014.52176247834,182.619528914384,824.950212920456,2966.02139553674,7513.56275325149,319.997906077009,1240.64958787747,296.825225138554,1917.12581652653,6606.71288248609,3891.98870439444,1315.1507007332,1466.78609781434,294.554789229984,92.3027820330812,257.408211036539,2194.02471001048,0.249099114931694,4047.91302610358
"Signature8",1734.27952083555,4475.5246847626,35.1933435487466,1457.6047746878,168.353171097138,1239.89660140065,3407.50754569123,0.0191697462006753,1855.80117632166,6.43195909256784e-06,3754.87444351468,1993.20721945225,2715.9360889443,863.069164855442,2137.58597780564,9.09269090718974,2302.25661820451,300.298393381988,2252.03120985976,5083.5443026525,2335.0049416021,1959.56369647319,245.10379199813,656.773116447864,3667.71553099453,2039.28153704317,3198.78489452006,550.927465708803,1.69218665795952e-10,2275.49865941803,5462.73338770649,5120.24943861908,2876.86299521605,4899.80081325258,4198.24852561918,849.708285953581,1886.80368015812,3883.20430072481,6289.42962563698,81.421773493848,780.955602126189,618.088869658253,108.157606549947,1563.99982700235,2713.36575787055,1482.40948187909,2154.47010151149,9029.57069883106
"Signature9",83.7655041183494,1399.61346564403,204.739022748751,3526.32841732753,33807.0844330763,8.80183142827623e-05,556.958052138213,862.703354202881,1493.77964089587,4569.29244964271,644.989706832155,242.644836346008,589.26018816389,5570.33441712696,149.764515662456,7321.48984285574,1319.87129097156,450.022466943384,1018.46786618237,4667.8687700876,2439.51397033622,842.025780129763,1508.47583505849,1347.30188826428,7519.55841985493,1259.51482949867,2443.80673444958,12.3672501551796,636.62124374546,669.246623480068,4002.51548863238,3336.95216409117,1710.90747019409,3822.33803907946,2077.67600079123,0.666139933369001,769.256488947371,702.393321482296,110.586989241663,2063.34428194512,543.335503591096,1562.95113073993,5098.31916888279,1699.03037667903,196.680612408197,0.0183233336736962,2207.4913507437,5212.27999566257
"Signature10",3135.26133243652,3066.91581919877,2524.16958298334,2463.15795194076,8188.25174604419,420.897880930721,6021.74726853607,7451.54751030446,3940.96848088514,1.76233485577663,1385.22453125638,628.180418660877,2146.36500743848,15.1346633018406,1890.79625597878,630.064067769118,1707.7517069922,1539.23644832654,1701.01919392561,1195.18001616581,3079.91519993432,766.531120620224,2683.35502102621,1292.38001467967,5239.18269883903,190.699431159451,3373.26887240666,7400.35804409865,3.3581588717063e-10,3415.54024343099,7173.04380806777,5382.55898635123,2344.12946075294,3174.90544843327,105.085052091929,4666.09664703539,1696.68224542725,1660.68573343133,2601.79664904736,218.356257149425,2770.59835190717,254.827889625427,1726.82514146354,578.465848585119,3.23626046671956,1736.77298688208,0.206173941147763,2527.91298614134
