"","Ovary-AdenoCA::SP101845","Ovary-AdenoCA::SP101682","Ovary-AdenoCA::SP61553","Ovary-AdenoCA::SP101724","Ovary-AdenoCA::SP102103","Ovary-AdenoCA::SP102174","Ovary-AdenoCA::SP101622","Ovary-AdenoCA::SP102161","Ovary-AdenoCA::SP101654","Ovary-AdenoCA::SP102074","Ovary-AdenoCA::SP101694","Ovary-AdenoCA::SP101616","Ovary-AdenoCA::SP101666","Ovary-AdenoCA::SP101558","Ovary-AdenoCA::SP102096","Ovary-AdenoCA::SP102084","Ovary-AdenoCA::SP101580","Ovary-AdenoCA::SP102064","Ovary-AdenoCA::SP101564","Ovary-AdenoCA::SP101921","Ovary-AdenoCA::SP101648","Ovary-AdenoCA::SP101628","Ovary-AdenoCA::SP101708","Ovary-AdenoCA::SP102055","Ovary-AdenoCA::SP101634","Ovary-AdenoCA::SP101588","Ovary-AdenoCA::SP101584","Ovary-AdenoCA::SP101686","Ovary-AdenoCA::SP101532","Ovary-AdenoCA::SP101732","Ovary-AdenoCA::SP101528","Ovary-AdenoCA::SP101536","Ovary-AdenoCA::SP101576","Ovary-AdenoCA::SP102015","Ovary-AdenoCA::SP102168","Ovary-AdenoCA::SP101716","Ovary-AdenoCA::SP101592","Ovary-AdenoCA::SP101658","Ovary-AdenoCA::SP102045","Ovary-AdenoCA::SP101552","Ovary-AdenoCA::SP101519","Ovary-AdenoCA::SP101690","Ovary-AdenoCA::SP102123","Ovary-AdenoCA::SP101662","Ovary-AdenoCA::SP101600","Ovary-AdenoCA::SP101544","Ovary-AdenoCA::SP102133","Ovary-AdenoCA::SP101881","Ovary-AdenoCA::SP102035","Ovary-AdenoCA::SP101642","Ovary-AdenoCA::SP101596","Ovary-AdenoCA::SP101670","Ovary-AdenoCA::SP101674","Ovary-AdenoCA::SP101572","Ovary-AdenoCA::SP101678","Ovary-AdenoCA::SP101740","Ovary-AdenoCA::SP101700","Ovary-AdenoCA::SP101891","Ovary-AdenoCA::SP102143","Ovary-AdenoCA::SP102113","Ovary-AdenoCA::SP101521","Ovary-AdenoCA::SP101526","Ovary-AdenoCA::SP101540","Ovary-AdenoCA::SP101604","Ovary-AdenoCA::SP101548","Ovary-AdenoCA::SP101523","Ovary-AdenoCA::SP102090","Ovary-AdenoCA::SP101795","Ovary-AdenoCA::SP102187","Ovary-AdenoCA::SP101515","Ovary-AdenoCA::SP101931","Ovary-AdenoCA::SP101610","Ovary-AdenoCA::SP61703","Ovary-AdenoCA::SP59707","Ovary-AdenoCA::SP68659","Ovary-AdenoCA::SP62616","Ovary-AdenoCA::SP59761","Ovary-AdenoCA::SP66960","Ovary-AdenoCA::SP61453","Ovary-AdenoCA::SP63796","Ovary-AdenoCA::SP69155","Ovary-AdenoCA::SP59950","Ovary-AdenoCA::SP59938","Ovary-AdenoCA::SP64976","Ovary-AdenoCA::SP64296","Ovary-AdenoCA::SP65807","Ovary-AdenoCA::SP59803","Ovary-AdenoCA::SP66159","Ovary-AdenoCA::SP63356","Ovary-AdenoCA::SP68348","Ovary-AdenoCA::SP62450","Ovary-AdenoCA::SP67428","Ovary-AdenoCA::SP61713","Ovary-AdenoCA::SP68725","Ovary-AdenoCA::SP67609","Ovary-AdenoCA::SP62110","Ovary-AdenoCA::SP64546","Ovary-AdenoCA::SP63546","Ovary-AdenoCA::SP60322","Ovary-AdenoCA::SP60243","Ovary-AdenoCA::SP63966","Ovary-AdenoCA::SP60362","Ovary-AdenoCA::SP69077","Ovary-AdenoCA::SP67346","Ovary-AdenoCA::SP66687","Ovary-AdenoCA::SP63716","Ovary-AdenoCA::SP65376","Ovary-AdenoCA::SP61343","Ovary-AdenoCA::SP60001","Ovary-AdenoCA::SP59860","Ovary-AdenoCA::SP60610","Ovary-AdenoCA::SP64036","Ovary-AdenoCA::SP60842"
"Signature1",523.424278267975,385.708085663558,56.1012455455449,1201.15558350533,132.097627149422,413.724864092595,28.8380496179895,782.474431544455,9.91487310446618,291.109634743235,409.222677984596,449.511646957275,83.6752447593234,7.6853180888353e-09,103.901049091505,226.088412141446,164.189416696087,207.140935981403,1878.71185539603,2458.74243777482,224.22762894241,133.123440015193,32.1503572692232,62.9071956259083,595.27518810018,123.689971291666,151.020964069563,15.2351772556217,277.289159808005,606.739349703754,25.6343809028074,79.8244789109785,1038.27842201242,955.443221505237,12.1947470925335,537.619240039585,286.313266521254,24.7136793993515,575.086134863423,434.883435510366,1.21908739965761e-05,237.72181030506,294.052411709553,222.572798332411,66.5330699742006,180.464108182325,916.560288438948,514.240300565349,33.3655438171528,1060.21113810011,214.450327079518,29.2039250854497,211.813924424314,89.1935476705371,553.566941381243,459.709493525211,273.911388871641,289.09751368654,654.63758284028,444.805624485668,519.328573727173,9124.44198475245,354.643540921291,303.24793611142,276.917371369223,353.005476309414,937.085790501842,929.493262589327,638.539701542698,557.620375452013,2129.09023093139,287.282466195021,33.6321896712428,2.18799582429902e-11,109.806649393563,0.0113960318032669,302.385607862224,157.700785708546,393.114616845145,207.92491412009,175.617055035164,106.156269872207,339.751055275159,260.299313078887,78.3307644815337,521.269162749972,21.1223682534997,555.285143257742,34.2230875961775,827.482443750675,131.294827718257,239.372322283606,60.6973702308858,28.2169531804337,545.965028795897,378.808103437043,37.599662275651,816.44860264442,471.751967612387,465.892010602646,410.612622533611,122.170337897722,1157.85403636116,79.8119600106006,99.9128251956141,129.978788592226,589.007859038171,117.137988165935,442.587643738579,502.684027699231,199.154699598878,485.187801225095,702.631970594434
"Signature2",860.706918608376,399.002228572742,2.30079718936519e-10,14.6904316712402,128.655423305624,836.232704833232,529.379885564059,298.976686269475,877.174978996287,405.05136535674,928.042617641941,845.315526507196,172.835936779983,166.148130000265,253.48890187057,215.510559672611,199.91211451097,162.815034007185,126.505631361128,1.25443583126498e-06,44.7226257642495,469.416499972806,279.19593412078,150.574259402273,359.788580863762,680.846447125015,257.086231086721,437.440615917881,0.268602712015378,0.000825903834860183,290.84159563549,332.417730823001,800.189894369123,374.15992105836,111.434833326333,1332.52542861501,732.564757335263,78.7491144198879,377.547137267043,591.118779500544,719.574334003919,474.12575501969,2.20368334983582,274.815387526303,191.919748528266,148.795453132112,27134.2342282583,225.891951710479,211.091863943412,1742.82592062342,487.562974789743,550.469561664555,421.350710039649,131.890596778969,790.220477156213,1054.02878148558,206.807979965532,717.646784325255,42.9045571250432,190.439044278134,323.991147498003,552.55673905883,102.738051894993,134.20240207024,290.606340991984,243.669052007978,402.366756686336,160.898872206873,633.430689237888,264.642741299055,658.359123741483,172.184243790984,314.522586368075,111.798618967875,172.511143817882,395.182789722475,407.778290630678,81.5875063781556,180.272561269596,321.307447287228,1.55530274018531,970.087318268176,55.9193625457416,551.757510429938,231.631508523366,93.280882681662,611.550023630523,0.00708533931106838,156.686792942776,115.709053421802,136.674495546054,0.0175410938301314,186.348264163422,161.593498800914,235.498335208328,248.137478303151,149.682002846908,680.84976068796,248.825798942353,215.073248399638,309.684928287337,181.288246796943,638.472234410255,5.06104621159431e-06,447.123350436239,208.589723928678,268.716435530374,282.146226076378,255.510870895831,409.585979432497,242.860073332417,205.181157760507,93.7140229780622
"Signature3",147.470179577247,175.363614700076,1164.0158225186,655.835255097793,113.443047873335,290.019923486139,291.620444233518,224.691513050134,517.394345046953,0.30105187580274,0.000288868486252789,17.1843673452514,256.749812712942,258.120044872323,297.208743554649,62.2090010585069,311.6198194458,44.2639391729029,4.41670309583796e-10,214.621042612929,142.267870186492,273.052596278226,6.96543790370367,42.3276408617861,245.028157161481,220.015268290547,142.339832465568,65.8005859974898,265.469767148509,395.570176176848,250.095348954253,67.6001299142491,0.951743299169404,1.90429337806762e-05,74.0762718460923,237.616255509199,12.8158377296984,16.1437642204167,585.402233035894,587.997241186917,1024.99288964871,245.566853409478,6.3546645986171,112.57255217826,31.9230555996982,255.392361324559,8575.39643633442,2.89043877746254,436.325472174473,351.130499741311,95.8685656562371,370.119921908867,57.4458329627522,84.3257968342697,277.12096150726,172.502289984633,137.298504947739,180.744017843527,279.009304271259,195.019248472513,619.841822570098,1015.18443806873,4.16962771888902,294.658678087391,162.209742269568,341.27091585133,203.863901527568,352.314136884914,339.397964464411,0.421897051922534,162.550296527439,15.8625588204408,576.235136175072,85.9892004902821,92.5915537510801,760.538534800148,0.0977399095944651,304.51627396277,1.12549086245658,48.045243573426,138.95226843614,407.471872778472,255.561164987388,240.426523673612,540.44618627658,428.633278458796,31.6665875717934,449.583557336277,323.485556555246,136.464845691259,68.9409359805908,349.241012085074,90.9992918736985,41.7959785591855,248.224886758053,30.0904017411558,70.2443072707659,94.511938716098,147.262706231472,301.358168704351,255.303611759832,130.336054598735,435.535920604609,704.122002044341,224.924544100089,81.2081161170498,267.758561762047,213.13749273175,413.422817919563,347.601288017779,65.8316939400692,270.985922350473,6.22631452185979
"Signature4",675.652698375869,454.975684344063,14.7651830167872,1.23715459215081,286.523940832106,548.585748609167,521.420479143045,236.743667714638,20.4230038375918,366.252747836253,358.979665514757,3210.27783233248,197.885177479081,100.675130789696,388.90360412526,169.728477629116,2.01705613616646e-09,187.406800144945,1.10830271163918e-07,106.793542491413,351.984915155964,152.10351649038,408.218592500353,2.282284310721e-11,348.153260799958,738.856500437653,285.519382014135,143.44849096004,275.68340858516,1.56409980815121e-07,406.355190017729,14.9271732369087,1109.38991612616,590.821273025522,2.28184492525786e-11,1856.10739919642,814.222239375475,37.63418664651,862.494772100691,769.511109007292,192.63381633521,33.3745740548983,334.453781100756,233.818983834668,2.19354006429884e-11,788.292022195828,215.624995218091,192.727027753356,124.794599272289,2104.73938456419,615.707456327641,812.034510330821,590.544327719998,3.02082116505232,478.445197416052,1577.67235836039,13.1879330265097,864.80947524957,0.00425590998489954,337.516555040276,222.118723832708,996.105512388559,377.723256596036,358.379561512254,170.145672467815,267.916058264028,770.597514553491,179.309458829013,1158.10219685912,192.312796589063,861.15951251788,200.612686377354,826.256992821252,2.18799582429902e-11,35.6629411842917,1550.08269015722,395.546471647995,235.323912398232,194.673002856176,402.399290052881,501.772730294436,1448.65590736073,1.45678553504102e-08,587.039481237974,634.211405071681,215.015067334916,1014.67851048701,1773.37797097432,385.876063592228,234.378966217238,10.7632773595085,0.00961002135030353,235.464786275965,329.484426164953,1386.00136708432,170.372101054486,139.530888213167,182.408583040111,957.112105045829,211.310990420796,111.827106962095,308.395117162717,1397.82257046123,78.2157208583833,350.907615917419,145.904208613028,1216.63580262363,275.312570918714,764.761671011258,450.407414637191,0.00365543776042019,0.0236620639107497,503.383041536293
"Signature5",1779.69680565422,1.20458221605608e-08,1.99754871431012e-11,0.193354391202716,35.1547841949905,133.249392835775,1412.44866730207,302.098171173722,113.654977525342,1.72373516663249,0.00308598912221152,0.190309531393177,856.280684463817,479.091728583266,48.4883870641571,216.699612973936,863.47820882097,702.498071220167,100.501149117337,6.07934918833175,1019.59301796887,436.784926050861,194.923174530002,176.911383397486,835.853387768921,84.0127063176358,239.573244472828,0.0263555128265783,1463.189421577,59.0982916854607,409.160419538802,3.27650581171378e-10,553.800651048753,1319.83228950145,255.189406533418,737.366601553387,226.658755355256,1.38538504258846,3033.67305306752,496.735046546557,855.820000197233,813.431981087833,0.0770632303782792,690.060726176136,77.6736676154055,77.2620150422698,330.297779644384,1070.16103356513,787.791481068717,2612.36419063051,202.72006541127,1122.0395762592,923.752617174895,29.9939293018726,1781.4566736206,3501.08024555568,643.010871619435,2034.77946932651,670.685193233089,800.724080187873,1.42161203287399e-07,242.479884654356,357.992929889703,690.900370092075,571.860309228423,789.288741601345,238.741039320464,1039.37054147997,710.47628829747,641.588149036349,690.032743062595,558.827547566501,202.871356452757,36.7483101700038,467.300034289068,1082.81858932572,0.585833536125637,137.439317383288,1.88976720392094e-09,146.436474373601,121.399164026585,596.964984573072,628.552554979589,45.9847479268783,903.483848910351,1316.34782481762,0.00338638909444618,989.185660180237,343.900179528878,1240.10555003052,70.1170567513227,456.606619758545,412.0611855673,535.537458423474,1494.30294740221,203.511496215488,811.30216574515,682.94386374701,1022.75123506111,589.593275790849,321.978600453916,19.8633176880545,1959.61513273302,1167.55199187918,252.651543729457,185.977387917295,1590.11076232416,76.6646280843034,1166.27172108328,176.296203231598,0.35936187139165,843.757456411649,419.228924338556
"Signature6",648.966954630797,304.111104160023,0.000143470257408495,1376.62066520907,186.395180934823,238.418854390079,538.493089649557,97.3700967272766,577.478367042031,247.513880162286,120.232152373345,838.385280516113,343.37456569972,321.192277603359,72.5554529214127,642.410417947093,1.32349716660434,222.250080581417,147.620195187347,717.237815603101,100.916301145659,124.730019731429,288.869875002179,18.2018391960686,249.327206466208,355.468908154256,322.070584540512,145.852810276769,688.77452678811,2469.96746729335,530.361249823051,218.031057342986,0.0523040009031965,3184.02144804674,267.347186421598,526.944739731544,655.394458313243,124.902801418307,1725.68259962623,902.244951773328,286.446402756316,755.301180188941,27.1885276685285,213.546974648364,125.244779948287,0.000497040502356717,18.946888860332,1131.75876755782,160.329145688844,1832.50617276358,155.630618014462,411.722166049376,39.8836896481068,13.5427154038958,971.059605816282,2566.86132333443,432.513017744775,865.323376108392,2211.89774080481,114.301402903375,19.8897058371105,41.4818056031269,1.9207315823685e-07,238.706671403244,324.802128993994,179.783594960971,482.106875010474,132.078088508657,282.020504841462,272.444776996371,1560.6607973262,319.034294061313,0.0283880079122718,231.10892058457,285.59030202661,639.1255535205,205.47663331097,72.7609299734012,85.3899782335485,23.8275577181238,248.407361036968,942.290651983162,170.577228927393,0.579985928464939,522.65278109877,411.343174159482,295.465258004748,0.0809480871196011,15.1636817333533,582.363796332431,203.593034366468,16.3830727918946,186.671216038402,179.467868225552,16.2454006409674,363.829498887324,4.70207578124783,343.890396004589,24.6927324167359,72.6024495573594,1.65963794385397e-06,27.5101489018844,327.060705435498,780.830874746256,287.948099677482,64.0756820877611,767.290817225207,140.054655789664,538.88827548247,77.0354146281908,90.4784371295882,256.236277843864,57.5237912743292
"Signature7",235.626214993748,21.2190788305271,77.429986181778,57.0329591368962,63.4018119832727,839.716722304361,5.24837018236631e-05,433.353896008808,225.124055305117,210.120107184114,439.947346155908,44.7800895741396,293.474395787621,139.063214863323,304.158841128878,47.2708523446837,413.758774147941,468.559318345877,1.64248476003015e-08,186.454938722722,302.597841183971,311.804118314479,231.466630152024,77.3005491563767,690.641042510335,432.633535456318,146.836073210729,0.0946390581346266,971.275378169762,745.476665902112,0.0967922099623211,0.0026074247770962,682.27239663683,375.719497790004,298.798052615612,1072.43889214156,1.48042260674475e-05,75.7466186110237,717.404868076995,133.532109559242,393.078839989913,181.705885723402,3665.85126426377,354.721388138715,259.94339403442,86.8762176263832,168.764836688574,1.46592905556933,553.74087816893,518.747275673992,161.386220752403,776.895849605657,532.793827944969,189.779872968746,549.088581663843,457.884565321336,321.065568553234,61.683837306482,246.235830976763,362.504030284901,523.823948354815,1126.95859968333,689.866663936779,394.475077522025,437.105179979668,366.162930388172,0.177937926160761,865.699206084712,4.19555652180984,452.542298118215,1023.55876579235,322.788377014274,663.688916217353,237.412325403822,314.935506685014,577.448946102465,349.376112185901,490.404549884959,249.147800923266,271.872866988822,0.000661584062037026,517.197696748003,426.174591842641,420.812880719691,625.463321805705,623.305444658856,383.086911993998,603.01928620468,194.711083976262,1128.38931711454,115.41091319493,853.222771740483,310.935824039195,288.101162794861,795.355302986734,886.288382750953,171.446467235545,161.286675123212,450.65317615627,382.931412574604,587.898460825242,272.121640053102,475.451032995427,5.92486644742681e-05,77.8697993563798,242.652822941939,964.993815854274,4.45236137163916,457.644935527707,531.930802554874,133.814490102019,634.086262913307,874.215122224239
"Signature8",256.046036821805,86.6641371621212,1.99754871431012e-11,0.576218171581047,121.747558026209,1248.76675308524,1035.59054133253,871.925877910501,0.144600808406136,441.77351940992,1942.82024490154,455.579579135034,544.661449089244,751.931383332913,240.495741270523,515.652818882318,529.184732657797,451.527024536962,229.287929302585,1.34067129701717,547.167596768667,301.940574609166,87.1789155016782,180.514323288433,929.218930533625,815.834083024627,430.770808550883,466.735004555275,1076.93480690523,421.491115962163,1148.92314985351,204.053922146042,674.235086767078,523.739034357484,172.851220691793,524.750169804417,116.339016172674,77.7070134712785,596.309094436117,1646.45048624478,4.69386986227695,1222.37481183181,0.0390723545438546,680.509946249709,0.297499690451166,244.110216674982,86.9198934916841,224.883852588828,746.970802214994,81.4767077331558,74.0084334460868,2075.37885872891,431.359701734847,324.018429615799,1022.88831394399,427.719154371735,697.964916535469,362.526123688581,852.342003861302,511.071945014245,1.48173327415379,715.711018941132,2.26778000818058e-11,573.009579798226,502.735297475462,784.294096277114,103.190858960242,870.248746358726,918.76416687926,366.828339466066,372.61003380775,9.93219051008071,268.458224523223,0.148260200602732,259.245503922991,839.059391809807,646.925316487098,4.52763871115411e-09,375.026150440912,372.157676327106,95.3089794073545,1800.80296513897,1054.70920112206,295.38983548422,777.003037800149,1163.58960069497,0.364742104696136,13.9496717552662,0.013284852895624,264.049639933343,261.58725810539,745.467545586973,1110.05517724318,182.112830888216,392.855263410923,16.3463571335237,580.044358857861,485.888886417168,647.13197363834,247.435260751202,7.38352764144653,279.834010002463,1444.88395083295,905.615558220063,90.1732282164431,235.713378997287,1217.60016005723,181.1041534946,996.069988862586,496.498917135553,228.744171347042,331.291396425688,750.958192041064
"Signature9",133.65604028641,793.971553390455,0.00974548500101877,583.404697309304,429.648706557452,102.981104819272,1525.95404280466,509.243160111374,767.041538233634,146.862772749379,1287.16292035731,713.237198611115,716.449379953072,772.407520442636,179.489342208675,392.925264815798,116.552559456816,596.117101232505,150.731658357565,1.96468418626956,739.25189542694,474.311543544279,524.65691464163,231.387835704988,601.928081074137,148.171401484105,358.944766384428,180.630711572253,970.493886943928,2346.7177005576,891.132213722003,118.47321400348,0.285800714434143,252.107047693073,420.334916191927,0.00230381167400965,66.8372179972194,160.97101726229,1710.93617053037,3454.04485768475,423.28617089778,1644.52265434655,0.87246788288456,479.421709657587,1.54051877962801,318.511504114406,143.355185547476,8.12032817001179,189.890348532028,284.087601104762,37.336868277963,883.725961023107,707.782060439186,40.0038968248797,739.07702721171,18.0004858398369,885.247143494658,978.658990418228,230.057695353169,144.177095681426,6.24053469443904e-07,131.718003287667,2.26778000818058e-11,240.48701932255,464.212901829335,134.61816844412,201.935002972834,637.327849952629,809.288933310955,487.721842557272,278.930217338043,1494.05903925571,646.221840362751,84.5603183133066,339.777089161413,1686.65356914134,533.003070514817,256.220342869409,140.658192172484,208.032066791993,98.3758266342487,1170.1673683451,2.3184160383229,655.052833961004,1619.52477300887,2240.11057596818,322.591604735201,1463.30961718,349.139351313711,731.084428179665,0.00101508060344962,791.786536888428,6.85981734321984,427.022629773748,1512.83667368663,1212.62368651425,315.840409814666,640.337044484446,0.0423766345681372,532.066345951055,286.712808154993,291.989827463252,1144.97687268257,573.653178568032,702.716099284411,289.33457708583,840.877640432376,511.916209565352,1422.82125207115,1586.99829810886,193.130537747615,1052.01675620332,1083.02158402941
"Signature10",2006.24420936025,0.432206114791172,123.131090394581,2271.43578210971,524.680296041593,717.713842357011,445.292927637409,340.689935623316,695.823387898315,184.955030436952,967.164792437793,295.817380029484,652.944740816898,118.702464361685,8.87576740289849e-07,127.325935701353,843.432266486737,796.060922734601,264.348519073112,348.655426794288,417.542341620675,509.900042636807,262.134186041268,317.130909087612,1077.05793715263,2.93539813539729,128.848116022541,747.633746507231,265.970634682778,399.616858667959,29.1321782751873,324.556672506755,495.405438433858,2400.75202063963,221.221859019382,771.125689846262,326.910159370768,149.15863077903,2087.48048291389,2461.79817268903,784.306589704478,1025.30866094386,0.000664389558206321,243.368583907463,102.016951128371,156.702130532918,85.780420579816,1022.34081821525,130.728831912836,1803.68671514223,1.72109611117747,382.946126451711,1042.32562214345,483.86436102235,97.3742317381122,2426.20485016885,727.954201309151,712.735168680539,823.57463871263,622.331120168191,0.0409073187277512,467.066764240986,2.26778000818058e-11,397.963522256799,231.026486846746,3.33094214450845e-06,0.00520800690753137,1181.18095791572,1728.82976466695,497.616593661403,1057.99491090291,446.545259577282,383.851759110839,2.18799582429902e-11,581.109817816669,1074.57482070535,607.361574865601,13.0590039056237,350.099274631454,586.861223336589,0.904636824355434,1875.62270854114,797.469935992127,844.796900465942,613.826530196772,950.249774938616,4.38048738390284e-05,1265.91403170688,0.000370214036314411,155.644200253394,232.434201376684,202.212370335642,364.984766740384,61.4076313791141,733.142318634227,0.0168850484435228,151.416814153823,1429.2372294809,0.0283606242673258,799.895325257017,63.0400011926172,423.882769510293,1194.80415727555,360.433238697397,498.241243220725,0.474132590534363,521.452023050116,229.954842835116,1153.18648699149,0.176596279269882,404.531507191486,572.303199918427,925.67626822577
