"","Skin-Melanoma::SP124389","Skin-Melanoma::SP124362","Skin-Melanoma::SP124394","Skin-Melanoma::SP124334","Skin-Melanoma::SP124339","Skin-Melanoma::SP124454","Skin-Melanoma::SP124380","Skin-Melanoma::SP124273","Skin-Melanoma::SP124357","Skin-Melanoma::SP124399","Skin-Melanoma::SP124311","Skin-Melanoma::SP124355","Skin-Melanoma::SP124434","Skin-Melanoma::SP124428","Skin-Melanoma::SP124449","Skin-Melanoma::SP124298","Skin-Melanoma::SP124431","Skin-Melanoma::SP124396","Skin-Melanoma::SP124409","Skin-Melanoma::SP124341","Skin-Melanoma::SP124353","Skin-Melanoma::SP124278","Skin-Melanoma::SP124376","Skin-Melanoma::SP124346","Skin-Melanoma::SP124439","Skin-Melanoma::SP124351","Skin-Melanoma::SP124406","Skin-Melanoma::SP124323","Skin-Melanoma::SP124391","Skin-Melanoma::SP124423","Skin-Melanoma::SP124382","Skin-Melanoma::SP124415","Skin-Melanoma::SP124436","Skin-Melanoma::SP124460","Skin-Melanoma::SP124425","Skin-Melanoma::SP124456","Skin-Melanoma::SP124367","Skin-Melanoma::SP124281","Skin-Melanoma::SP124377","Skin-Melanoma::SP124412","Skin-Melanoma::SP124333","Skin-Melanoma::SP124359","Skin-Melanoma::SP124286","Skin-Melanoma::SP124329","Skin-Melanoma::SP124326","Skin-Melanoma::SP124458","Skin-Melanoma::SP124401","Skin-Melanoma::SP124264","Skin-Melanoma::SP124384","Skin-Melanoma::SP124403","Skin-Melanoma::SP124462","Skin-Melanoma::SP124271","Skin-Melanoma::SP124336","Skin-Melanoma::SP124452","Skin-Melanoma::SP124386","Skin-Melanoma::SP124441","Skin-Melanoma::SP124418","Skin-Melanoma::SP124291","Skin-Melanoma::SP124319","Skin-Melanoma::SP124305","Skin-Melanoma::SP124447","Skin-Melanoma::SP124344","Skin-Melanoma::SP124369","Skin-Melanoma::SP124348","Skin-Melanoma::SP124295","Skin-Melanoma::SP124444","Skin-Melanoma::SP124365","Skin-Melanoma::SP124420","Skin-Melanoma::SP124364","Skin-Melanoma::SP124307","Skin-Melanoma::SP82445","Skin-Melanoma::SP83242","Skin-Melanoma::SP103894","Skin-Melanoma::SP83382","Skin-Melanoma::SP82451","Skin-Melanoma::SP104330","Skin-Melanoma::SP83312","Skin-Melanoma::SP82614","Skin-Melanoma::SP82431","Skin-Melanoma::SP82459","Skin-Melanoma::SP113197","Skin-Melanoma::SP82532","Skin-Melanoma::SP82636","Skin-Melanoma::SP82796","Skin-Melanoma::SP83482","Skin-Melanoma::SP104530","Skin-Melanoma::SP82429","Skin-Melanoma::SP82644","Skin-Melanoma::SP82988","Skin-Melanoma::SP82461","Skin-Melanoma::SP82900","Skin-Melanoma::SP82399","Skin-Melanoma::SP82756","Skin-Melanoma::SP82836","Skin-Melanoma::SP82417","Skin-Melanoma::SP82471","Skin-Melanoma::SP82435","Skin-Melanoma::SP104056","Skin-Melanoma::SP83083","Skin-Melanoma::SP82433","Skin-Melanoma::SP82780","Skin-Melanoma::SP83019","Skin-Melanoma::SP83099","Skin-Melanoma::SP83146","Skin-Melanoma::SP103866","Skin-Melanoma::SP83844","Skin-Melanoma::SP83027"
"Signature1",2990.85142398619,17610.9403279819,4230.17489742003,8116.5770577177,82.3123795242561,5132.11747495138,7964.83602110489,7.5900674079012,59.0791375755375,14439.2192272223,4652.29675924618,3.86266722292836,2257.13724228089,6609.82452632139,1584.7716309057,881.963184816761,49.3825210527453,369.060956170527,40797.387731072,0.00440656846846266,1.36309572466133e-09,1.27792915206107e-09,1.10252035501894,5.98329091019554e-06,19097.816387178,1.8421576195631e-09,5482.04800209909,1.16547419269204e-09,0.000278664665990326,0.245214475438611,4151.18939823072,252904.205667968,657.926425102787,6696.36089483608,9151.97868153302,6766.60600449361,5258.42665412708,6.78461844070816,2512.99939225408,236.602200654438,2994.19039915321,1.33848704464654e-09,0.195657991521199,3840.63846244984,3909.61913548418,172.414502117589,2691.56468815667,1.35268933115872e-09,819.691799796023,1583.75696325297,3893.57029858145,0.000163202932692259,5.02240160859007e-05,4734.26732767787,3206.3119416658,5.77187241063225e-08,13025.022864269,3.43605412490333e-06,14573.6240523845,2264.27321307807,650.561786747175,1.33288998281477e-09,6355.24652493464,1.81420368319704e-06,0.000166656686054571,667.172095864334,2919.28561470608,3935.94055466277,1146.41715356193,5785.73987204004,30043.5843944995,4397.75538358035,16902.7473305816,576.378748544617,359.797947155449,264.911029147032,2626.38721632894,1506.74345560494,5202.4092053258,6523.75823611044,1.39935202520753e-09,4639.33170197135,4.84012544694312e-08,18.182915457375,6257.90636152884,1.33850781954813,515.112655751899,13247.953464534,25.6776106078464,3473.81765871785,23823.7244609446,849.892165490996,2595.57207896592,0.61002212191644,115.574716717039,1.36306178958957e-09,0.0185363139805052,3611.61247994947,1981.02498720877,2895.10627476263,2816.98542836473,4761.00829472203,640.808654558543,4365.82406703999,8552.49728476947,77.7895420663388,1.38324584342905e-05
"Signature2",32.7319708688333,3519.60811365331,4741.30347097066,4336.20598764891,0.00359521072743581,3070.0009115134,8826.04096544346,6.95215368482568,3.05003838596786e-05,6931.52072018147,12470.3336896458,0.47318446468432,3235.07229976905,5456.81810655522,6985.20994600384,24784.4323668409,4587.18214619257,3393.9753565054,7811.73844419893,1.15355815459468,1.36309572466133e-09,1.49407766835243e-09,219.74602069587,768.411618994614,4524.23088243191,1.8421576195631e-09,2752.77203155491,1.16547419269204e-09,1.40137564287512e-09,0.0092788226076657,16789.1094814764,22751.2057157095,74667.5678476617,2889.20678944541,6089.87852388253,0.018848443344427,3547.00298652012,72.2500640592576,3216.00249251824,7435.95471565117,2441.67796092307,3.87541176603768,0.0267726031397304,1858.60196028434,18.588191333108,5929.69015653073,57821.4048147399,1.35268933115872e-09,17898.1636198618,167.047030405039,1266.18862567909,1058.90181773102,1.02844492254036e-06,1709.07812020593,942.00245726556,6.03080998529921e-05,7973.37152171684,0.753568601859815,2871.58154705481,4123.31038504405,9053.19550199761,1.33288998281477e-09,7375.16455085687,2.72886844475301,7.02059486398031e-05,5.47792353970885,5118.44020238961,26.8440950800263,2530.09145518264,6139.05393549123,13708.7065467236,8176.75530179034,1270.58275449618,1928.59750391899,3631.95779306597,218.242268338956,1983.48843023788,995.134755513629,1013.10544647981,8154.22608033053,1.39935202520753e-09,15969.9415895502,2.52064472614464e-06,1990.74949840683,4165.41536625449,6659.74325976617,2429.64308861702,10368.5352455857,0.296833687832423,1425.3218357397,18553.7950315883,8037.42762315245,32.7907220541842,2726.90145076953,680.096851522289,1.36306178958957e-09,0.00284518341211421,13658.7973910943,1564.03272020859,0.0118467693241328,2.16929639647456,3922.08182211617,1095.50970418862,3568.98545293961,1493.13664744629,2520.14804725288,1.35883072953525e-09
"Signature3",3807.69325450626,7501.33370726798,754.302258948857,5350.63856520668,37.174594533336,1212.67942925172,17377.626013317,72.3933577098026,320.231847616599,535.422446459633,14595.7903760779,39.8558499564126,6983.64246659436,6945.65739983586,891.098070600153,12523.592873765,8365.03694259814,3346.55045956772,245.194883742461,178.43836664177,48.1145379393664,100.418846935997,4585.13816710224,1071.41477701148,26498.2478133789,1.8421576195631e-09,5991.99462611828,0.000175574526409994,141.417292905699,2624.83225505689,5861.95892909162,57015.0642917159,38.9529379383219,4705.18747344446,9019.29632448736,7920.94191492551,49.8485858033017,0.000861683453456557,7544.28762793423,3254.61453836539,408.623963681195,353.533381572898,0.000629145047095345,998.828997073392,2848.76768118326,12557.1842414632,34554.080792425,340.549782104894,5549.79295864122,1014.10713778998,4101.217854681,1330.5209220426,1.28938418558073e-09,7188.74087102139,6670.82570333147,242.008762475043,6619.05468992542,231.172550784138,4775.33652226697,4.15674464587467e-07,41555.1873747642,156.613778638492,6562.34468850533,189.882115581563,8.70208803468083e-06,197.846294485231,2707.58912451154,2127.08533315909,1185.19148100531,1513.28754261051,204.372544375162,5392.58198363927,18719.8415983233,5257.07636676206,3844.86141253163,64.0000292689776,3817.07861888142,4867.5862881536,62284.9581647241,3171.37011506005,180.22210005537,42388.3789894577,130.487142490539,3370.26715314812,10689.2815128258,136.869654478991,1353.11688374291,5353.97291616876,8526.60141212396,10237.3039306926,21097.9086566885,4724.93973989316,348.781216991979,4449.88800863849,8182.75480507594,1.36306178958957e-09,311.050217326367,2135.13993147296,6283.695195351,0.00220286069605277,1379.19154620223,7150.45913554289,1137.25477155935,17439.4525514924,4470.35481644484,6514.17371681769,5.09454032614947e-06
"Signature4",5668.59116996913,8913.50477036598,8634.85979075291,6769.81256079227,4.63812069929246e-08,2666.56260213341,8383.93874951592,1.43360458309393e-09,5.70282541310274e-08,10390.2005537227,14124.0314894768,23.8799079301762,5318.87409193858,11657.5255560777,670.152954494753,27506.8604462239,14142.9298504639,3560.03134745228,16954.1788582441,5.21101243385163,1.36309572466133e-09,5.09007255908543e-07,5828.51341149002,0.030576447642166,1438.97254821538,1.8421576195631e-09,3501.42163239016,2.87067369052668e-05,1.40137564287512e-09,2514.81718791024,49177.0902277544,1182.16911135054,2048.18728863643,6202.26561836848,7044.61172590457,2580.60882456003,11803.9014990573,1.62366157223026e-08,9755.66641714931,8726.4213918038,3385.37135709182,160.26446493052,1.49813801399558e-09,2582.06219428001,403.476708467292,11063.819501269,23684.1603427909,1.35268933115872e-09,6943.69223789804,678.609742750088,17573.3124148636,1.10455206294759e-05,6.29736747096662e-08,10351.8162580126,7220.23013463558,3.579500058094e-08,33.2851165149039,1.45060340161413e-09,1820.83049541308,7165.05103914785,51569.7581043278,46.5768183042184,6795.32849086289,1.417263889086e-09,0.000236094074028758,2202.01982751605,7020.39854157357,7428.86973328064,1535.60126740489,9289.35767131127,30150.5662834479,4391.79053693159,30246.9613477849,8271.47855811296,5379.66960746273,152.858513196523,5619.63079828921,3511.41979078529,14136.0622293477,7932.83975186451,9.99783935898707e-07,228.993542667389,1.29392109646444e-09,5984.15487139955,3674.7734436513,10243.1944967122,1493.60034416776,11780.3886478155,1661.26809196432,6244.9740085637,7386.66953425263,12457.7704513958,1.10172970638107,3753.55811293956,7510.10180583062,5.41719507692664e-06,159.390380663869,557.449727609542,10536.4247469519,319.705336236989,2627.32343858474,9000.93028076452,3252.29664277993,27551.2663901261,967.179934692003,6419.8174772696,0.966237855566216
"Signature5",4050.80408395609,21339.7444796574,12091.8630950812,6081.5761280884,1.42185282397571e-09,3717.58850408973,1470.37985967626,3.50643697500825e-07,1.39853091105327e-09,8645.12416044832,6944.97837934436,0.294067475765826,3007.24387385385,29555.7877495166,7622.70368784579,18463.1242333004,7911.55558224213,1887.83745751917,7645.8393251124,0.000112993470967689,1.36309572466133e-09,0.00172830445072627,3216.83757232043,3.22343105349762,58329.1034655765,61.9716124293665,5001.79892497982,1.16547419269204e-09,1.40137564287512e-09,2673.60299853205,38987.9869471757,8328.22908176351,2544.48725475567,15204.6335074309,991.588349051327,2155.80458920302,18200.782865004,32.5618973991365,9167.39102186503,1768.66623505173,2191.60030292707,0.0543535402017973,0.0177264492010465,5498.68469389362,2598.4269501966,17338.8487590068,50121.3372780088,1.35268933115872e-09,7723.11388361274,412.817389813069,8854.94700026527,3.06757352132154e-06,7.79207653227161e-09,13496.3210271139,7972.22611338675,92.9276022481737,5684.71307417651,7.28368696249567e-08,17912.4987576399,120.694432285945,32371.7607062694,1.33288998281477e-09,8380.44538577197,20.2447296993907,0.00135167858967691,739.849964319225,8.46038944577917,2723.17352287389,12253.135543724,10631.7512152215,36428.3966753353,229.109945022306,101.316399281614,2830.52302964853,6529.1471569858,0.224998183962736,7236.14927110794,5309.43999523047,9261.9074166977,1469.13841084496,1.39935202520753e-09,27031.1905395439,1.29392109646444e-09,2245.90561387134,0.00202846358730711,5125.72859759559,3009.88673716099,20053.2260939779,2499.62674706137,9852.62254020772,13085.161428379,11518.9220002686,239.844041850781,2896.8834945701,25661.8598493506,1.36306178958957e-09,114.179279858652,29706.0187009311,6883.01584429324,1391.21509844319,2238.15590118179,3425.28797211686,540.035901067519,16560.0699162048,9594.18527903924,4101.72577097417,1.84463405244753e-08
"Signature6",799.584624828636,3392.96610979338,5522.53028993996,1639.9317399602,272.494081809024,0.945160586025063,580.335949110896,132.873494062214,4.22460547763742,9896.99434371042,12240.4654820136,11.8135789196635,1123.71728968105,2028.84850870365,8337.48482141593,10338.3116365187,7170.31765204181,308.30386608461,8253.7883339097,569.95780198715,59.3595254173404,1.27792915206107e-09,2158.53454643243,124.969413034908,24.3193816411938,139.33115908104,1693.95132823494,1.16547419269204e-09,9.54077172953761e-09,212.959357268502,25407.5443236781,7692.01242387195,33589.7957280228,7932.75737121272,3700.80373729307,2083.67788479003,596.965284609056,80.7919495753244,3116.47916578394,3890.75911338945,2776.4588292526,1.33848704464654e-09,108.419458234854,4613.63601971844,2300.55214636965,12612.1210104139,11593.3784063626,0.000610858633684852,7091.16654451378,796.025438072728,8028.79881354764,371.668236764375,76.0313167410047,3814.44118156906,5330.63533069795,1.36146178291669e-09,5507.08440306944,75.8563991541761,642.691930461115,919.893635885209,20263.492066139,9.54910456762596e-07,4688.31127389071,6.3345941199743e-08,4.68436031755349,362.115939057063,5010.33897825814,1798.96134872395,5004.75749272631,4428.74460316338,58.4226183567901,1619.94932774102,10294.8581593687,987.665703591226,3938.25504257989,49.7418985844158,2350.0033862819,4297.15574309936,36593.3204528517,3346.08955095741,135.534361068982,0.536514248432786,295.31588682298,1272.29223635826,3.36435063462091e-07,1170.74794408015,2491.01710210793,12908.9634974627,2769.13838649574,5183.41276898273,0.20798207012834,9406.37420189707,816.620748460926,1645.08306202915,16546.4197712444,521.400853413649,150.669051302469,78579.692279323,2937.18239046314,1411.80503701892,3166.0188532585,4416.43924656216,1068.36905797677,1584.29721701857,4741.5450620085,5038.18774008272,224.309054188112
"Signature7",832.077298953452,3.11356127487259e-09,622.737295290551,4373.89030630679,564.806235900034,3005.79434388921,2.50485022018208e-07,3694.6646758815,3075.2753926462,1265.36350801484,722.009424755935,1815.68157015567,1763.74626885418,1863.49447662174,1685.09491754685,10.9502897869712,1414.26181122826,1798.03899606052,2622.30058817217,8423.19018570579,1558.13216480901,1579.73395010141,1846.85442534445,4699.07420506419,0.263839971829769,1277.36570719754,2499.3075542027,1273.7779562007,3366.39404408436,402.673087480829,8386.69885672283,43.7699311748221,22796.5192362704,1140.47443168654,3722.41415439403,3492.9333433893,2839.64756430107,812.769189949677,1531.08446698912,459.196564656192,2233.47353984851,2691.68404752839,536.999388145602,1364.19560451032,5663.20758180774,2245.2152158154,10830.8919798429,8217.67876864733,0.00242854684243118,1020.02686269378,1537.46637769778,7343.20220969089,3404.27233763934,1655.63155671707,2930.47827527152,5969.28888814813,712.49959850644,2960.04716245746,0.000886284503508598,2015.72884375789,3257.48927557246,3247.67927146664,647.017827981313,1777.61407481599,2501.36115268036,1293.49772858351,4222.97294681997,1106.63003516773,7374.46986453972,1481.4016717827,1361.34941003583,0.0098225224650773,5092.82045185769,826.021019020205,5596.31918506855,416.556055911962,1606.03245333171,1595.54930988087,395.554655314557,1935.45466906745,2560.61219865234,5808.04788601598,2460.27491418459,2555.15420499765,3420.12992746883,13758.5826372996,2801.04781710369,2514.08350757384,1331.26881908684,3146.92386035636,2714.72162605189,1653.15338569763,911.262820400778,1790.78491956365,3.23706570147863e-09,3744.68534070201,1307.04743679827,5177.56781240586,1557.73018628828,2671.89788648982,2321.34913532978,777.285769155747,669.856288699474,1140.32274482712,1540.85773916348,2264.8111069594,1509.50628275026
"Signature8",4753.66013236693,33546.5235914148,11330.1579809265,3108.05039508613,0.146775485686836,2678.48560114161,1887.69885157667,0.046417433917487,15.5461560949291,15220.6248844583,1.71382744602358,1.96725779593727,11926.9554537359,40856.2695949543,12394.0989169477,37401.4648543789,9168.80909779161,1212.13213664986,14042.0130151012,1.20874356884433e-06,1.36309572466133e-09,1.27792915206107e-09,8255.96800933639,318.307390898046,10668.1168590905,433.310575277189,1701.55427627874,1.16547419269204e-09,4.41770088266536e-06,2724.33293709481,26763.5074388877,13551.4218786905,8604.80330741207,12019.7782003458,3692.59034593773,189.695717721417,10246.9667208799,23.64713418466,1907.62274634264,5800.63070183009,4774.25128081003,1.33848704464654e-09,130.547997029517,3965.89889170892,7531.80051431973,20297.9262344165,54580.7633038301,1.35268933115872e-09,183.077492409339,164.498179763744,16488.613608177,0.0013366461772179,1.69502947321772e-07,8941.34712029329,13032.1979095611,0.000640856477627082,3856.2578764856,8.0361935311501e-05,24385.3062300195,7716.53915182201,43476.1618022729,1.33288998281477e-09,16958.7328546105,64.9219922788319,0.000688102832909604,6.46353367579425,9780.00498159248,7281.98842655808,16708.611274176,15042.1261508602,46182.1205738634,535.042137579881,5530.25254117952,6346.80342290685,1171.00376580068,255.939631733491,2609.85906555749,6951.76334278031,21476.8568892379,3838.7780665684,1.39935202520753e-09,503.700306436247,1.29392109646444e-09,65.3393489284999,1152.25730211813,5059.80283994699,251.172166935798,33519.8985049987,1237.79003878822,5572.61398331674,23747.3229186904,11100.493673388,6.02527099407204,5.25863142365407,45835.0448102433,1.36306178958957e-09,197.751409417021,27722.4791763169,3981.68880206311,3188.53328526612,2408.48413342442,5355.63986565213,481.210852506544,30573.8472685187,1700.87273932195,2372.889089824,1.43737756089685e-07
"Signature9",0.000739944732879487,116.149895707346,592.979016453449,2926.13251932008,109.037098442893,911.108391496556,3175.76527229481,153.641166511155,252.645841740789,543.585867317749,2373.8851370821,187.376540117082,436.710014944022,7.51868921891366e-06,688.86222858146,9.53787731252597,611.133691501967,93.7073481178455,403.228151658183,965.476336869972,43.9444730315498,205.642062878557,118.008527542819,0.00019844543616804,4967.07064624094,11.0664287079784,7233.00294533845,75.5415569783693,218.636126187907,220.064395899128,2576.59382217269,7866.36624886955,2648.03710644008,7160.24821126175,2221.36423892755,159.730434517277,34034.0964645943,16.8760034348143,767.808037841548,708.610014506422,290.112064827465,359.321246798917,33.9411021537219,244.03265096335,214.83237038671,1354.89201339403,4799.21756726685,388.388174823883,1214.25067599886,70.4862040801416,1055.27446016561,780.609686540051,191.533847089462,539.161765134891,359.366627694923,355.053430144706,683.622506765882,408.416780472917,1017.56935630498,321.429491900793,7228.82642379817,353.136111957543,32.9567260453852,96.6369930441328,12676.1477748889,894.352842186486,1807.04895947463,32.4496413467119,571.396274966905,408.919730363632,6792.10199893613,139.471618482749,2250.85254655158,114.82561784558,403.122443503676,36.1297465356811,1048.50837319301,888.956063169833,14741.7837921153,383.488723793214,160.053125183087,3487.03208978012,1223.54995555821,568.290982420701,2969.62063837203,1245.43335745972,634.516469954932,1400.20724761285,442.657810977218,1025.32846949454,6914.59042281342,1798.29243669107,79.5850049064744,914.900138132877,3.23706570147863e-09,110.83797915617,585.758190154393,1912.11665407772,539.192703906016,169.052376907178,2.66278142530671e-09,812.527054221318,239.952847967328,1913.91033045877,939.305426299898,827.873403470118,257.01366123953
"Signature10",7747.83636465781,8942.4661468399,8418.14075705413,2086.06054787468,0.0193273726703415,3779.13252819182,12426.5764246286,5.2641048415846,1.39853091105327e-09,41.7032122183814,0.638959594603264,74.3977805364147,9.97800341754599,20679.2013402605,188.06398016595,85157.9407874046,11204.7779450987,605.50793492459,5145.36077262859,197.139409386027,1.36309572466133e-09,22.3941053725023,30.6287831626653,3466.48249394514,9822.40408993171,411.166002472216,3599.70260436426,17.6329156835163,272.970652788058,2036.06800970379,61134.5377252818,33495.2359500424,13771.0448705339,4421.63025456363,4142.259025898,2955.82325985043,6915.77351726633,1.2032127544388e-09,1165.82669425349,2228.5339374911,3556.98577947724,2.57749546198964e-06,33.2856394595342,7.59401642739446e-06,7335.68085461228,8353.37729845759,38379.6590407573,1.35268933115872e-09,10008.1000323688,878.385453196839,1944.28126909061,4.42169833931578,154.890291388879,2458.57652371496,9383.73951889181,80.2392066789752,0.00227163951280436,38.1390001571998,7754.95755538906,5059.82664039074,8961.48385536768,9.51955830928704e-06,13797.0710793939,125.624541475011,0.0929261564097788,747.326849448739,1726.00914839967,5096.5294518365,634.223129465019,65.4107505759235,59227.6071303436,8359.27305877064,4610.67823257946,559.488817048581,463.699892659483,218.433637667615,167.358533917744,5270.40036993444,2545.93774393937,7301.30088126052,3.74684968960011e-07,43513.0999755748,1.29392109646444e-09,124.131611257204,6580.42502364249,1487.17676104443,37.7843445465933,13958.191505082,0.564901853378291,5100.35231811138,8966.41680374763,5434.99869456875,0.118558060068931,2651.51655577136,16969.1636219971,48.3954527780967,342.450235081111,20182.2445545932,298.155657883944,3029.05009731289,2191.03972655252,2796.567867848,465.793855928784,21809.6344079673,6019.16103180757,279.616476093638,116.267264590612
