"","Lung-SCC::SP56638","Lung-SCC::SP56537","Lung-SCC::SP57586","Lung-SCC::SP56541","Lung-SCC::SP56553","Lung-SCC::SP56771","Lung-SCC::SP57941","Lung-SCC::SP57818","Lung-SCC::SP56460","Lung-SCC::SP56474","Lung-SCC::SP56704","Lung-SCC::SP56533","Lung-SCC::SP56730","Lung-SCC::SP59245","Lung-SCC::SP57024","Lung-SCC::SP57933","Lung-SCC::SP56754","Lung-SCC::SP56827","Lung-SCC::SP57084","Lung-SCC::SP57538","Lung-SCC::SP57735","Lung-SCC::SP57669","Lung-SCC::SP56566","Lung-SCC::SP56569","Lung-SCC::SP58342","Lung-SCC::SP58349","Lung-SCC::SP56644","Lung-SCC::SP57629","Lung-SCC::SP56941","Lung-SCC::SP57619","Lung-SCC::SP58245","Lung-SCC::SP57251","Lung-SCC::SP56502","Lung-SCC::SP58668","Lung-SCC::SP58101","Lung-SCC::SP58991","Lung-SCC::SP56607","Lung-SCC::SP58326","Lung-SCC::SP57267","Lung-SCC::SP57066","Lung-SCC::SP57901","Lung-SCC::SP57651","Lung-SCC::SP57450","Lung-SCC::SP57846","Lung-SCC::SP58612","Lung-SCC::SP56821","Lung-SCC::SP58882","Lung-SCC::SP57189"
"Signature1",5291.83998461881,81.1463874532531,6538.47646734042,2.01851035502235e-06,0.0663012281112374,4.98494722156012e-22,1674.15095762863,0.191149885564429,338.433734191339,1.15118421704939e-12,1328.22806859937,15.4160486152916,2555.17062256968,2143.85181293845,1105.23474466393,7065.62431540854,1176.98094741738,0.0755821722314113,4371.30514832239,3035.62100781915,2703.96087642743,9277.58423494379,9.79044724844908e-34,2591.05651445128,10449.9794819954,9640.49328673177,3631.56313151494,498.504562399797,1.39223433945111e-199,2707.28525445288,4641.51329899912,8584.0646934325,2.32379428185609,13969.3174564326,4607.21390883044,3435.44979268524,2772.91650588058,6300.48915363828,2248.74561655582,3895.98336517335,4149.01980379901,3376.70650586662,4.09618932554419e-07,1588.69242680693,0.00238165173098756,3501.39323115632,0.00661039246243367,0.441178444421345
"Signature2",5751.10933639129,172.765396964214,5.01372869943704e-16,10945.4110506979,82869.3640716714,159.653220869607,7.26608279127881e-16,4491.13971951606,7520.98292880221,9398.92496948703,8.74134603401877e-22,0.24693576635226,1.51284270108459e-06,18008.637959706,910.955832001924,8762.59457218859,5376.36916633006,3532.53979698918,2350.1186335469,2945.71198698428,4333.32048890738,1.91428941214727e-08,16770.988707476,3634.94405197914,12325.9847317146,4.16866833461743e-15,2947.70214301249,5.8922692063055e-05,4489.70512215625,43.6039843187023,2085.03032239992,6552.66266818568,4865.01815531993,1760.86634103848,6.69678573015899e-08,4.14949721791306,15.109933956457,0.0458833487493194,0.000143497030348288,3070.02528471984,3.50612076767188,2962.06354402415,17796.956200242,24255.1042176718,3.41439354526821e-32,1.81637803616337e-45,3199.32203898958,8854.97126332359
"Signature3",4440.98479753337,9043.62090464485,3642.32871402594,4980.05667839269,0.0234915927177752,464.20579502757,15810.6649908898,13457.2795259651,1628.57852737163,1.77507624368323e-43,4118.03912144712,2247.91665643436,3747.31771292383,576.956438822439,2329.88877097845,4266.10982619943,2304.93088501072,6615.97252429308,1175.99643230864,1189.06888330806,2640.12467063207,3786.89163170101,1.3296333581365e-08,3506.30829831326,25.4271540720798,180.145668435782,4936.41069150763,9872.44429565595,2.54604921332606e-229,8076.11207418222,2683.06805337602,420.195360509427,2378.29686126547,1206.63965383902,85.7359033603004,3908.71877504306,1329.31450081493,8723.14786191798,4999.64447292929,11654.0832479429,3528.55793673121,1.01418952615961e-07,638.643888607797,0.000233132016087538,348.442565049275,3002.07808532029,1.16394862922529e-05,17811.5289320199
"Signature4",8027.21697568304,10407.8706300086,2090.16654573972,14507.101398348,4.77576655346676e-05,0.00412115759926643,41958.9753785337,31597.0492340103,56.152255614195,3.41441625285795e-56,6656.17121474686,2553.33952469886,3652.35358128293,5742.6972159953,2976.83340491241,9417.98248209113,5643.02100136706,14487.0488491021,3737.50739673716,1358.74698745202,5424.85207439727,11929.3620362463,1.28437567913601e-14,4054.83164151833,688.94926456776,2047.77494554213,5680.37776986907,4.18603864900727e-07,1.36149007887853e-261,19193.8030678847,4809.29087561191,3726.80308971662,7927.27714096811,4689.37944010595,1528.93193153669,0.172443607318145,913.940436503746,16495.6192235547,12303.8303675937,12744.3547636901,1369.06559320096,427.773932934575,5.01501691407446e-08,5291.73086301495,81.0758551867222,2602.86001934183,4.14667212346645e-12,38071.6434754014
"Signature5",4491.99530445821,5817.03569496846,2679.95617407126,1177.97679293613,0.0757565314193236,3004.38358846699,948.395326039283,1.25107142926228e-26,1277.98321415802,1.0990538392156e-23,1091.14414258487,5686.94789426852,7049.88307479044,69.2225501303547,4539.70767979047,825.139455598795,3603.66913637154,2086.08614035626,3508.40788565579,12261.3780816513,4976.16665317905,7761.67037569499,4.4230399435693e-27,5617.89282963156,0.0326055541584128,8094.28057582547,1671.36982915508,5520.99768494874,1.87185391579576e-141,2985.42920105217,9056.3525296134,8421.32934061469,3703.34605387882,5499.80897110764,9687.42696218013,2631.73297088174,3027.99152153208,3259.34562806169,10170.4470016075,1006.79312057003,3002.71064742065,2636.05821198815,0.000873478417579782,5.51737821851107,2579.22004026501,1745.565346608,10090.2193805422,6751.35243940655
"Signature6",1572.71254115442,238.557660212235,4.57787247404053e-11,5545.50395011565,50998.7876382938,111.865673951342,3.7620946432013e-08,550.481368908835,0.0162969846989065,1.35820121996617e-09,1.90006816489924e-15,337.917518754803,644.375869388488,67.5397117982327,808.320847213098,6820.78209862775,1760.04902003398,2071.17740401275,1448.29685051153,4406.50768094645,4161.2088731376,1507.63711783705,2.84290471574777e-16,2734.8197199276,4174.88086705881,0.00241827693773206,777.336797112546,4.72449206033815e-06,9.32407702842885e-105,1450.9464869452,2430.85071026574,3180.96893753164,4331.73312698352,5858.19798505172,1939.0537424497,861.872796264364,1057.92419856801,179.340617094056,1397.86927836576,307.054234304907,784.413479139965,654.584482555064,0.00261767897551728,1387.10658187891,3.20550484443788e-28,6.78593999324499e-33,1104.1849511806,2504.9699639577
"Signature7",4060.7227306667,740.000691694201,441.553911026268,0.0272918644036002,0.167617485988284,2410.91747362593,1.0246811123693,2.84999464368134,10183.7332864628,7.67982176439865e-17,1269.33571438603,1955.48300724944,1621.83880334319,6051.76501473263,2068.30512436916,1153.42096942664,1996.73272600662,0.568302819054717,8104.83788201065,2.26317777099405e-05,1475.83316371344,6.04076216070904e-09,6170.67930972891,87.0861531851284,0.12646411813706,4.32659745640427e-11,4706.76642169545,4747.31265979298,8.68974004452474e-60,1356.66106765275,0.0210611717492891,9317.49011705569,7335.86551045743,6917.86805229242,7.07802293974132e-07,4922.43792129089,3604.17831916227,674.808537123562,4321.72849462348,2100.5509988991,3310.40033887097,10.8674293480726,8.65627487439565,9761.03217604798,1477.76292347617,1537.61150266647,38.2756244418929,3.66331397359303
"Signature8",6330.39883551537,3639.43924706341,6731.7192953474,323.876682519438,1.03384736298617,5.38690553949226,6953.79952183072,2.99759834238633e-07,0.0362199612388389,3.03194111083751e-34,19304.8176602787,1809.46247556464,6541.03897441843,4395.55916604132,2493.11545822429,421.964770516424,227.470075472083,702.198922507391,4666.01910929253,4374.17945776911,2872.09278396226,834.938297785262,9.91408786227352e-25,710.549972248965,6.54227960160637,0.00307252642646943,8368.65902197783,0.243409219402279,6.105551142433e-183,2922.88961872876,3105.93697346378,378.149449297578,2574.38242404425,14672.730093717,4867.34172178207,2379.17440021242,2022.57399458029,16403.8060510258,1900.01363194321,17784.0360501335,99.7471236271671,1143.34313147563,7.83747205779706e-07,10803.7261983406,1565.10241568616,5206.87057572599,0.447738370315703,22437.9323729989
"Signature9",727.97886919671,2050.60746769484,1784.15502241869,587.057979053089,2.27567595639359e-17,1434.67786851865,793.355810719238,2.5163021314567e-25,960.267169307556,2.09072011983489e-17,617.351955640594,847.9677218915,956.188215894316,622.957802056004,1272.37027328544,1712.85124298158,2335.75611422128,2261.42058372686,1881.33561562603,1073.44902342352,2688.18338679456,5359.75374231214,6.60167924604924e-07,2390.05741917617,46452.219293881,2397.58130451944,990.541586117215,735.443408648725,4.59622540093922e-94,3756.81407927048,5385.96390102643,2139.13626479467,1188.32406327905,3129.6780713913,3106.66195184514,1894.13377672256,2771.62973423441,3286.2403350528,2619.50438519264,1468.72208750949,3732.04251481639,1208.08565662354,4.73629653150369e-12,870.381901555553,14805.8373469833,9336.18960010791,733.089823589486,1305.52018546035
"Signature10",1211.21850691765,513.787848849649,4575.8245623088,1177.00655803019,0.0581184650826618,430.996110762052,1569.82418018815,0.00900663125590455,307.309112251428,1.03737022142348e-21,11999.7942395526,481.040695305255,3511.96431307411,1898.45508586428,1460.46393701215,1447.86437937348,733.942679522377,1572.9537453757,3696.42720025,869.428622696604,5277.56399775271,2.80132334808889,5.06123828133318e-13,1088.34722455162,14.2009455367678,2101.22425113368,5945.02300716942,1270.16931179344,2.38001956319882e-170,2907.07540201429,17584.3243032786,6174.16023391756,3035.09881683058,5763.26599520871,4329.08822454291,3451.77938976032,1657.9528748919,6748.01252096426,2768.71921188783,2.30648306446516,1560.06419255176,205.977390876916,0.316776764592465,6.02388502322645e-06,40.4727757576723,1578.25344557172,0.000488035758184,2379.24682041746
