"","Skin-Melanoma::SP124389","Skin-Melanoma::SP124362","Skin-Melanoma::SP124394","Skin-Melanoma::SP124334","Skin-Melanoma::SP124339","Skin-Melanoma::SP124454","Skin-Melanoma::SP124380","Skin-Melanoma::SP124273","Skin-Melanoma::SP124357","Skin-Melanoma::SP124399","Skin-Melanoma::SP124311","Skin-Melanoma::SP124355","Skin-Melanoma::SP124434","Skin-Melanoma::SP124428","Skin-Melanoma::SP124449","Skin-Melanoma::SP124298","Skin-Melanoma::SP124431","Skin-Melanoma::SP124396","Skin-Melanoma::SP124409","Skin-Melanoma::SP124341","Skin-Melanoma::SP124353","Skin-Melanoma::SP124278","Skin-Melanoma::SP124376","Skin-Melanoma::SP124346","Skin-Melanoma::SP124439","Skin-Melanoma::SP124351","Skin-Melanoma::SP124406","Skin-Melanoma::SP124323","Skin-Melanoma::SP124391","Skin-Melanoma::SP124423","Skin-Melanoma::SP124382","Skin-Melanoma::SP124415","Skin-Melanoma::SP124436","Skin-Melanoma::SP124460","Skin-Melanoma::SP124425","Skin-Melanoma::SP124456","Skin-Melanoma::SP124367","Skin-Melanoma::SP124281","Skin-Melanoma::SP124377","Skin-Melanoma::SP124412","Skin-Melanoma::SP124333","Skin-Melanoma::SP124359","Skin-Melanoma::SP124286","Skin-Melanoma::SP124329","Skin-Melanoma::SP124326","Skin-Melanoma::SP124458","Skin-Melanoma::SP124401","Skin-Melanoma::SP124264","Skin-Melanoma::SP124384","Skin-Melanoma::SP124403","Skin-Melanoma::SP124462","Skin-Melanoma::SP124271","Skin-Melanoma::SP124336","Skin-Melanoma::SP124452","Skin-Melanoma::SP124386","Skin-Melanoma::SP124441","Skin-Melanoma::SP124418","Skin-Melanoma::SP124291","Skin-Melanoma::SP124319","Skin-Melanoma::SP124305","Skin-Melanoma::SP124447","Skin-Melanoma::SP124344","Skin-Melanoma::SP124369","Skin-Melanoma::SP124348","Skin-Melanoma::SP124295","Skin-Melanoma::SP124444","Skin-Melanoma::SP124365","Skin-Melanoma::SP124420","Skin-Melanoma::SP124364","Skin-Melanoma::SP124307","Skin-Melanoma::SP82445","Skin-Melanoma::SP83242","Skin-Melanoma::SP103894","Skin-Melanoma::SP83382","Skin-Melanoma::SP82451","Skin-Melanoma::SP104330","Skin-Melanoma::SP83312","Skin-Melanoma::SP82614","Skin-Melanoma::SP82431","Skin-Melanoma::SP82459","Skin-Melanoma::SP113197","Skin-Melanoma::SP82532","Skin-Melanoma::SP82636","Skin-Melanoma::SP82796","Skin-Melanoma::SP83482","Skin-Melanoma::SP104530","Skin-Melanoma::SP82429","Skin-Melanoma::SP82644","Skin-Melanoma::SP82988","Skin-Melanoma::SP82461","Skin-Melanoma::SP82900","Skin-Melanoma::SP82399","Skin-Melanoma::SP82756","Skin-Melanoma::SP82836","Skin-Melanoma::SP82417","Skin-Melanoma::SP82471","Skin-Melanoma::SP82435","Skin-Melanoma::SP104056","Skin-Melanoma::SP83083","Skin-Melanoma::SP82433","Skin-Melanoma::SP82780","Skin-Melanoma::SP83019","Skin-Melanoma::SP83099","Skin-Melanoma::SP83146","Skin-Melanoma::SP103866","Skin-Melanoma::SP83844","Skin-Melanoma::SP83027"
"Signature1",27661.5571649572,66124.627605371,26536.1143142697,131.030730660882,1.01184975221304e-272,17068.4453830075,0.273074358149972,0,0,13797.2752558307,1.06790502623111e-05,0,19985.2215397468,95935.1295435656,3.07201594128657,132795.106685841,19717.0159550933,13674.0037945582,37850.6262466874,0,0,0,12080.4040260824,1.52571982997334e-15,52049.611779054,1.25873856999846e-30,6979.56593816066,0,0,5845.95264364878,218401.486319958,59233.9773004303,20406.2868218408,21069.258873742,12964.9198953865,6220.79472981135,0.00210470945587558,0,15093.9942549323,20134.9233501192,407.589310602786,0,3.08034465388115e-117,4704.88864326566,20000.0719846964,36712.8069508878,134320.004188501,0,52058.9224852328,0.0852228302103028,23975.7951711913,2.08059345803342e-122,0,12776.3851076694,25712.368570746,0,0.979270033366311,0,51296.3366975789,15791.2427295247,61325.6927859041,0,6702.56093021324,1.07072180595887e-299,0,3322.15467852282,365.51809292596,308.17958108676,16502.9561746955,26703.2042737269,16033.5216735975,29260.3631832128,35927.6743190389,17020.5841846676,10244.2732557251,268.118701593799,12230.0333096899,8379.55087336546,0.00304694391351663,1120.74147574512,0,765.223874122302,0,8848.66758452869,739.199779829744,14440.9156407578,2979.31089569467,61183.2875547853,41.257446281183,15646.4207299243,2716.4571653387,10324.902106014,0.00448393704786505,0.0584067330846224,73093.4587849318,0,63.0151783109544,38.4783085340102,21647.0270791312,0.0666003492969564,1776.89134675963,24528.5191843206,4647.04104393215,84058.8966370238,645.957063305111,3000.21117148329,4.63101694057379e-297
"Signature2",8.76164213536751e-06,5.1159832485526e-74,1.35337280436202e-50,6934.21726086005,2764,5998.63879635313,0.0212263106531959,6756,7523,0.0755083251127767,7717.22070979359,3815,4336.7712043189,2.58132664120363e-67,817.304373777395,4.36824569123246e-27,6034.60069591885,8222.80724907872,5.46373888383539e-43,14266,3474,4789,1569.44647337204,13348.6346550781,6.15203043269508e-64,3872.05723050671,10136.662283313,5195,7610,577.771405044358,4531.19233349604,2.65036259304188e-74,32693.4073537535,3.43984188808986e-23,6889.61780264079,4255.97688522864,4473.8016129867,4393,3682.93752700059,13325.1353544237,3995.07711824776,7406,2146,738.792664316787,7829.85738086318,2077.6019804375,11014.8921772825,13376,43998.7770689419,2166.64230839903,1755.62161532875,18976,8919,1930.91344189957,1455.77300494574,11483,6514.29603737308,5725,6.07001663667383e-101,4314.62975128952,7.01125834481801,5841,1.96625209890363e-12,4998,19556,3726.45781686598,9059.29984766176,1133.96204132233,7361.73437871602,838.825051580625,2.37791427969185e-65,17527.5785228856,6823.72061983077,1727.77690269346,14107.3024659235,1476.56640588209,4311.55959254078,2472.2953151115,3.26234488518978e-11,3667.09202898969,5057,8162.69750248042,7317,4574.39890943497,6441.28681046473,23435.4291090997,10964.145057587,1.0493189314935e-50,76.2187108877549,4438.34310695643,1.50690254236589e-19,3178.65921637634,2978.49847656897,5196.561019897,2.7175814464093e-134,6654,4329.25261442058,138.747387274091,3109.86066506567,3963.2766277097,3524.74267800848,1772.72907782561,5095.16239567432,2.39665832385529e-70,1601.4512302684,3154.54965652659,6218
"Signature3",44.2547242716464,18196.0164871566,10.0968325960553,3264.7805603485,4.26941870100763e-192,2551.10893090282,1335.31995697926,1.25211352610394e-313,1.92442202204642e-275,8308.76058803323,2448.47663599968,0,9329.55346612671,8060.14999604912,3970.61114490941,0.0214765834483697,2860.97115620915,2584.97302525526,14443.9146415957,0,0,0,1146.20187902898,2.00413948475599e-07,27703.8122496772,1.83327271741173e-31,334.197876044596,0,2.02514843684201e-292,0.00171186558235373,0.0666789561305881,146953.349786546,12558.5849874339,20.4298931209349,4558.14077261792,1340.27956751123,3.12115919810584e-06,0,5171.76389965467,935.648495859532,651.165433036591,0,5.71820462932931e-76,3070.34920806942,435.139206426005,3066.93584347351,38096.7265451417,0,4420.639251457,243.537057374622,2743.27640173201,1.53359497342366e-20,0,5045.84073887229,53.1157344008025,0,9362.31106338941,4.79175809363408e-204,15142.1263682697,2541.18725715172,11685.4620526024,0,7460.77892384076,1.76905496893307e-211,0,3.10367915819169e-07,3939.69630056154,154.817146836528,5349.07862854269,11205.3058095691,2315.06627727608,4540.03927973524,7187.70564930638,3901.83760375405,863.64423729607,64.4506021297858,3592.15250047747,395.400553946239,801.841197668743,228.428228823925,0,5190.5631253127,0,0.0942062903702961,0.00086932897208706,141.469219611792,1512.82830709593,10521.4668430376,0.0167283993628153,1470.07523110974,27851.5620257241,139.629428677634,0.392249241811287,1.01006525144975e-09,4693.28171870958,0,1.89520287427529e-14,2.86835771637956,5173.94894323853,0.000138158563319011,146.589933072209,4926.32940860465,388.480129952829,154.897621503543,14.4185036781763,19.8106500212259,4.09282170571859e-248
"Signature4",9703.51414457077,46839.7304028626,44259.2265451024,28317.5100771272,1.31695158761121e-180,2177.11063933586,8333.92796597529,0,0,46629.2601000469,33746.7462651029,0,3620.78466390986,50261.6091575,49889.3666512934,90597.4844941471,17294.1662213798,0.0330294121218519,43584.2755854766,0,0,0,12565.6523200759,2339.37236530595,2.12260698514224,1883.10643883052,1645.97427429735,0,0,5830.89541192745,42353.9468525236,1.16908231809987e-10,142817.839881525,39917.5262104624,13914.542610328,9124.23194187959,32.4942710875735,0,8010.34803942171,20515.3476825801,24202.4218092025,0,2.94306854789847e-104,20747.3476480834,15187.1922098969,52690.7521520376,83343.8299987259,0,28034.8604737536,4555.96026900424,45329.8948345383,7.88653238404283e-147,0,28696.4696306609,39319.2734864621,0,36846.3857404513,0,24796.8768246255,16467.5203059369,39962.7168765637,0,48213.2125101831,0,0,375.509332441855,30936.6789564903,26263.902165666,29388.6494007282,22490.7076851395,5.43517205067246e-06,2511.75017236542,18060.5579511746,5399.29190418014,13082.5912396919,880.091586502001,5907.87357207443,20475.4065673892,0.0236200966270278,40553.7756602129,0,23185.2055571639,0,2248.37174010888,1993.02245215643,5177.96202309193,7030.60791721857,85523.1579870437,15523.166655428,27582.4375148913,6196.84227906773,48039.7044266143,3073.73947860431,15290.0005331157,85802.9569494716,0,1032.19041187459,177690.870184597,2484.83790117884,15067.1547197539,16791.1094282841,15465.9388182917,3649.96023792045,16664.0463647719,33551.7652612534,16287.4345711272,2.70528921806069e-254
"Signature5",117.468134220522,1660.99534245185,6559.43882850284,13875.1012210604,2.4039967957173e-177,288.849848653446,45106.3134634136,0,5.40280172820279e-270,0.522621860882668,14171.9234571784,0,267.557267287927,0.0234973982349513,20929.3097405706,74338.0505000585,12473.2261786185,0.000222872654338122,0.283761363120799,0,0,0,205.811139664997,8069.13275086815,18600.0105360845,1222.83633064589,23.934272427297,0,9.54927269202071e-241,4644.49892767543,4410.17353183271,0.126042542879957,4323.68185839853,0.000708357253731677,6299.16089372851,9377.05679341127,8.49670816862068,0,3957.12135835176,0.00139787590737343,7814.50813907169,0,4.71532289057773e-73,451.143828315829,720.373618796409,2807.57906138834,24533.2839957701,0,1.30766559694957e-05,2419.58220951662,192.945582574642,5.71922356920617e-36,0,13949.1070438623,8517.45583119735,0,10624.9443741706,5.1748944867869e-240,1495.20574819456,3125.86765210654,9061.82071282739,0,36993.5629077948,2.11593150945031e-163,0,0.013510066168724,7796.24671472042,19191.6758425481,0.175819194253713,1.74056729118033,0.00196738207888235,2348.59686903571,7448.14898037274,155.068807682796,43.3236350608145,291.772156275175,1491.25684882942,8141.12256801777,8.09140164687254,17308.2073930269,0,126071.949220318,0,19.0655312915844,12581.1069225816,0.872052572850382,16.9123798619806,285.991460551839,8755.26165602643,8746.80285758416,34276.7897905823,9706.74937114444,1.55405452799039e-14,13039.1547538307,0.0360340001041951,0,574.645478392413,1.1912946557921,739.169629087041,8915.96848399321,5222.34390591936,1256.38947339632,0.182134545319328,0.0100598073997741,16360.5281070748,4475.88899739819,2.00973124831975e-187
"Signature6",3099.4986780424,7589.50202959918,5446.85259961331,424.13674480373,3.53362896211428e-191,3530.90870876107,64.1158123713294,0,1.16338098072093e-274,5647.59762773127,190.746687752951,0,10432.1266969999,13284.3995018028,7611.41557750203,71.9321992385566,8590.45696130037,3193.24299273084,7767.34953313867,0,0,0,5468.62653933133,1.21675748384501e-08,25276.5222115002,4.89426011456055e-10,3146.255634966,0,3.07638983196153e-273,1460.12503982345,14966.8081707758,22.8617506802837,8.09367096036577,6438.10583113503,150.442895408339,1681.35479817133,1.50363075651043e-05,0,5984.03034957583,1191.66183354672,598.596363292417,0,4.11478410098293e-77,2104.44916584958,0.00149221573271667,12972.9941737533,41031.8879779611,0,16719.0736032632,0.0192423308813835,7639.8876235839,1.16729988813765e-46,0,9880.15139192702,5466.87493453229,0,0.0196538928540019,1.40133904896163e-242,199.829363162382,1085.09987226741,28806.4179966716,0,2517.86985553347,2.40846144391788e-180,0,2200.58398682292,38.1170438778583,2062.78975493057,10161.1677859064,12072.7861554614,38096.9459411387,10.1069929221023,3320.09637644431,7243.22667835632,7544.51023738525,0.000547614760314945,6105.48255057906,755.031839547664,2.00334181369257,2545.20291472246,0,0.152509450780803,0,7587.19487287012,4.73151124573412e-07,10877.4654961188,2302.65105736479,6882.57170285342,5668.57972234789,7161.48206757435,3331.82216891897,13300.0242072286,1.4272872827395e-08,3920.24809151306,907.68786537976,0,103.14512939609,5.90291717369791,8901.09320019116,233.512419903654,72.9750794336572,9137.03821977498,1653.46529767744,18827.8350308336,4620.42538173382,7360.9978557145,1.12524337704872e-203
"Signature7",80.2773110807803,3.16272097814384e-09,2.8044086069484e-12,4324.4604060115,3.59213461591836e-57,4.14245370303103e-25,16945.5675084802,2.47496574527909e-251,2.03899588015809e-188,27602.8165994852,39647.8025177523,1.61550980540902e-298,8.07609102324754,0.00861776788276642,3.53344149930956e-14,34597.8065115902,11415.2946464894,7.55241589952375e-15,7600.26024296297,6.6997679508155e-272,4.40707420877997e-311,4.2957390432096e-279,8.84606131008799e-22,7.6051339006631e-22,960.490006241339,4.65045913031119e-40,5.30932814035385,0,2.47137958999874e-196,1.04213459007803e-36,119377.024276808,5.82554413845688e-08,56869.9281292045,12231.2744903156,14031.6645445632,540.388831520323,8626.36902686578,0,7670.22927797062,8.78023358140109e-06,2665.71809423639,3.65057700202015e-250,4.55541705506705e-77,6673.64434629085,2.07730940666943e-31,14917.3121205182,12618.0454959551,0,33.0915330057132,877.803352100743,9700.15378995124,3.03105352957506e-25,4.81717950999261e-270,2589.94948538252,3.51135463177022e-11,6.97511138688992e-312,12240.0925424219,2.89355686063487e-190,1688.29106679835,0.000329458752251835,70840.5672854684,0,2703.86500669112,1.69071819281711e-186,0,515.69273918608,7237.96196502934,6.31708374859722e-12,10024.9998118676,3761.05180504617,14.0474106844838,1.36640181448138e-05,26388.2894900404,2165.57739013376,896.040775016709,1.58310701213431e-30,6359.62307835702,6682.47866540969,139682.939454905,697.645241153277,6.55161203992598e-305,11761.5788676781,2.12389740176209e-252,2452.50712135186,0.224554497234601,0.00253483605979425,1330.47767827773,1.08146879608692,0.0044632937918369,2090.34885822377,0.000532675814492935,7741.70726537811,3620.20914976623,1.36519547984529e-31,2.2767800100883e-38,0,3.71960123666399e-39,140726.852538543,11535.1616176632,2.23314465371552e-31,2213.97554441899,6143.58060937471,771.24648061179,1756.54447493119,9861.89542041019,4396.73442416917,1.77447421676129e-131
"Signature8",13700.6165944932,53993.2275136649,15123.1186574633,13375.5411703755,1.4281838213106e-284,25276.6875527941,61720.8405213596,0,0,38620.0158813054,0.00955106616694426,0,19667.0613776333,81117.9529218167,49657.8417297284,11687.807712183,2.95554184894445,11348.8090670977,125429.618869986,0,0,0,10814.3064042458,2.0949084499186e-09,46775.9228560085,6.01861084038291e-29,1567.61741514092,0,0,8895.97509335019,66881.1946938787,307342.919599134,48083.3595768651,32590.6729887085,17438.5804792543,10405.844457574,0.0130121857848202,0,2599.92506553987,9187.83559998208,438.034496213914,0,3.34598283555767e-137,9812.80310366354,8698.85232104602,2177.59969922595,246.2401682286,0,8175.06012111109,282.185626431004,7861.36789629923,3.11937102087664e-141,0,13461.6495132485,15641.9882907375,0,25677.8390613863,0,72511.507718335,2785.53916555972,36048.6622206384,0,27039.6829641485,0,0,5976.09424360821,7279.4879103541,17369.1327576871,15905.6495241309,37793.725928525,124533.319989177,3626.23463906788,32998.1072870146,10420.9408227666,3.19955644294494,2.38571225385015e-09,12705.6279326393,246.789171297592,0.100444056489362,9142.20986479048,0,41.3782450922737,0,13682.9929239495,8215.38716256795,15059.5144967889,72.354491873627,39616.5669918323,40378.4606003067,732.453289347889,115634.3864136,9746.28830598587,1318.77008073112,0.00452360382183292,24880.3963633167,0,82.0563847298716,4.74367875539435,16385.0505752286,16811.3686771935,1680.84733108317,20614.1699443669,455.477814964401,115467.025025679,15852.4067502591,8786.04184633071,0
"Signature9",0.120969128737366,0.00582295281668449,0.212881020787262,10727.5956865247,3.75393516049354e-234,2.07585250645843,24016.5352709604,0,0,7.02920158440052,11455.6043636496,0,13.5830726258617,0.000226169304962183,0.360254429341103,1.08734194038569,3.30805990548845,1.30886357444948e-06,0.0241275886556838,0,0,0,0.000953081854409008,2.04215984868114e-23,27058.1547503741,1.19698153293028e-37,36315.0337450924,0,0,0.00129111529289603,3034.48596684791,8343.31126141075,4.21981544387519,30940.8916904763,10076.500006529,637.151728555975,142825.823004087,0,3942.33276344494,3.54481491013285e-05,0.000312515355765921,0,1.6754612925802e-118,98.6114806401146,8.2581216526271e-09,1108.67014116971,24839.8751351321,0,4.47099214301871e-05,7.73286276016957e-06,87.7336905346533,5.95260260752295e-103,0,89.7697192250969,0.0532295306362229,0,0.604349724221378,6.80237246075402e-297,6.15691718684877,0.000575294936023695,31886.5900030974,0,0.0423292238917758,1.53237222145892e-290,0,870.995497545245,338.945329846011,0.000314816913564888,0.30904245326756,0.0854493421190464,13994.3286963579,1.21203191033376e-05,13578.3628879302,1.82434953197938,0.000116847431293917,2.27837523097911e-12,2038.98075057758,1943.79502213382,83601.0462951906,138.775456467139,0,34133.4263243867,0,285.695438765046,21227.1417740577,0.202394196297623,0.00326856522435303,0.0972448520626781,8.94983087612566,1982.14762833143,30999.5895992349,3420.61017933839,1.33363854285737e-05,1347.97265714992,7.1597837394248e-12,0,788.075391149467,4.08718082408052e-05,900.604082876319,3.77047158863624e-08,1.75843265394623e-08,601.148981072152,0.00203219048430306,3.92173351362965,2725.27807023444,1695.73668237213,4.54963987669078e-267
"Signature10",15579.7228023935,20399.1164394519,7940.93933441029,6389.50718638502,1.68961338094634e-192,1921.17428711131,740.155545880517,0,1.7194910702804e-302,305.603949005099,0.000456459454279825,0,7257.43631195603,56433.4661240076,5107.71807388048,22204.81031052,101.890749687742,8482.96206299281,7650.2343720655,0,0,0,11317.5501372897,1430.86022853316,10567.3580176768,1.63894884799255e-08,3065.28195849811,0,5.73451003921648e-295,5662.77847554945,3105.95647435172,682.686671826211,0.049622841441514,17759.4260860653,1323.85054195951,147.186017937873,2.4332087845869e-05,0,152.021721552096,10582.6866877904,4432.25014966648,0,8.08587582675402e-92,2959.20438711333,8418.51178602581,21349.6169161532,0.348376453137214,0,23259.2852260914,162.776769596356,14669.4767127217,3.09659854959954e-36,0,2621.63228635175,19668.0951148368,0,3632.61998790434,1.7458199725903e-240,25181.6710571473,3770.91063751837,34142.8423653822,0,7935.54095246076,3.26241648601629e-233,0,1898.63675741219,8458.38591345412,4659.54039004018,5805.16516287543,5599.21753639546,69187.0964711344,4350.02454528582,6336.17063139548,9625.17146111128,4742.96603337358,1.02811919515284e-18,1635.02045717453,4685.93831263031,300.989142789587,2881.71401024929,0,0.820032327660866,0,5499.95689246837,1.54237399772777e-07,0.323201869732646,2320.62139277367,36478.2194322328,21842.0481272658,14129.7533925005,11965.1672603299,6706.51397655377,3.85892474546503e-11,1.4155690748358e-05,61367.1822841905,0,501.61941172602,15391.0825068204,4554.21943337345,636.652332900137,4586.03884315835,13351.0491132208,3745.99668173738,72491.2175571187,1006.01669506515,7514.5178008699,1.23158221061587e-233
