"","Stomach-AdenoCA::SP135192","Stomach-AdenoCA::SP135335","Stomach-AdenoCA::SP135278","Stomach-AdenoCA::SP135287","Stomach-AdenoCA::SP135345","Stomach-AdenoCA::SP85122","Stomach-AdenoCA::SP84384","Stomach-AdenoCA::SP135184","Stomach-AdenoCA::SP135226","Stomach-AdenoCA::SP135436","Stomach-AdenoCA::SP135262","Stomach-AdenoCA::SP135431","Stomach-AdenoCA::SP135425","Stomach-AdenoCA::SP135222","Stomach-AdenoCA::SP135230","Stomach-AdenoCA::SP135205","Stomach-AdenoCA::SP135180","Stomach-AdenoCA::SP135213","Stomach-AdenoCA::SP135217","Stomach-AdenoCA::SP135405","Stomach-AdenoCA::SP135238","Stomach-AdenoCA::SP135270","Stomach-AdenoCA::SP135411","Stomach-AdenoCA::SP135188","Stomach-AdenoCA::SP135194","Stomach-AdenoCA::SP135186","Stomach-AdenoCA::SP135420","Stomach-AdenoCA::SP135258","Stomach-AdenoCA::SP135234","Stomach-AdenoCA::SP135293","Stomach-AdenoCA::SP135393","Stomach-AdenoCA::SP135299","Stomach-AdenoCA::SP135415","Stomach-AdenoCA::SP135310","Stomach-AdenoCA::SP135323","Stomach-AdenoCA::SP135390","Stomach-AdenoCA::SP135209","Stomach-AdenoCA::SP135240","Stomach-AdenoCA::SP135182","Stomach-AdenoCA::SP85251","Stomach-AdenoCA::SP84408","Stomach-AdenoCA::SP84491","Stomach-AdenoCA::SP84743","Stomach-AdenoCA::SP83967","Stomach-AdenoCA::SP105253","Stomach-AdenoCA::SP84998","Stomach-AdenoCA::SP84062","Stomach-AdenoCA::SP84982","Stomach-AdenoCA::SP84790","Stomach-AdenoCA::SP105673","Stomach-AdenoCA::SP85339","Stomach-AdenoCA::SP84719","Stomach-AdenoCA::SP105425","Stomach-AdenoCA::SP84056","Stomach-AdenoCA::SP105261","Stomach-AdenoCA::SP85379","Stomach-AdenoCA::SP105086","Stomach-AdenoCA::SP84392","Stomach-AdenoCA::SP105018","Stomach-AdenoCA::SP84858","Stomach-AdenoCA::SP84086","Stomach-AdenoCA::SP105213","Stomach-AdenoCA::SP105577","Stomach-AdenoCA::SP85431","Stomach-AdenoCA::SP84962","Stomach-AdenoCA::SP105006","Stomach-AdenoCA::SP84439","Stomach-AdenoCA::SP105159","Stomach-AdenoCA::SP85230","Stomach-AdenoCA::SP84922","Stomach-AdenoCA::SP85130","Stomach-AdenoCA::SP104984","Stomach-AdenoCA::SP85222","Stomach-AdenoCA::SP105375","Stomach-AdenoCA::SP85287"
"Signature1",1.9355427636231e-33,1.49958357251239e-83,1.87897421914845e-78,0.00334181042938738,2.05894322009525e-86,5.98908877383065e-26,6198.60316364883,83.0584350314354,59.3609675606173,0.00046883161508598,3.64182448369286e-21,93.2109960086885,3.35157242298703e-84,6.23962527511215e-24,7.41995982436508e-54,1.9546452367002e-19,5.55557708377101,210.074345373144,4.63288921686631e-32,1.48457955596293e-05,1.34361892173934e-10,2.54510759312262e-08,2.00747019823756e-11,4.98703474108168e-43,0.898692317989048,7.65289591318524e-16,1.00218876767441e-15,32.1471807879633,1.35730321981301e-32,1.01441058028559e-50,2.43837895136493e-23,239.754750506957,374.55947875981,2.9893990763361e-26,107.262920948246,0.713449859601184,7.24331899920568e-21,198.707145777189,0.0194710365425394,0.000666755825819806,0.0285724178485404,1.29643152091464e-56,3.1436455466849e-52,8.03184674629197e-27,3.60394013205691e-06,2.33975518534288e-10,2.80927025734231e-27,0.950969329954034,4.30008034123885e-18,9.56181907838667,6.22739205324256e-19,6.17919720165857e-20,37.800843058996,0.0561784828659289,1.59191753881511e-14,1.04087429240081e-43,558.507818584537,16835.405858006,1.54351041969447e-10,2.40827232897709e-12,0.259707179366264,270.043325543471,4.8599990827938e-22,177.113602280123,1.31866470660376e-15,66.66198912309,266638.896958858,1.01875593241151e-11,0.00139458033828334,6.26656822213005e-100,8.51534035019923e-12,2.17747069563084e-32,6.10403540196451e-40,0.00237708116647368,4.58475120402827e-05
"Signature2",2.09210330021797e-94,4.03460312054699e-47,6.73882573584043e-45,4.50028473369349e-12,1.42038983992598e-53,2.19107984769046e-37,1.73122719186516e-19,76.0648318457436,149.518925803359,176.551384743675,12.2855463432504,2279.8453795958,1.45478809703442e-66,3.78116081448027e-33,4.83676315023757e-19,5.99044706351582e-13,7.152501266653,6.27665527710482e-14,1.03596243197155e-84,1.04789236197987e-15,0.0132741840888069,1.73392410118969e-20,49.0773375101252,373.262393866353,110.011757141199,1.46362346526932,170.292126036863,6.4535883142166e-06,7.78648813945011e-26,4.43413659308369e-45,1082.51508411398,1959.05442791085,176.611440566489,8.731433450215,4.52243326571734e-34,8.39702945485687e-05,274.150690094228,11.9364761259901,394.066785002802,4.98916724793316e-12,5.3344150993567e-09,2.95747448261715e-20,3170.66896338808,3.26617289829369e-39,418.306330505922,1.02349153868221e-25,2.45850599111696e-44,1.2934466419099,1114.28373190171,6.75992481852581e-07,3.26149533684506e-14,2.54304526387064e-42,594.743451368391,275.070534809522,1.46921371075916e-16,2.02473201825229e-34,453.949080958318,0.476311908055352,2.84345847104854e-25,80.5041138853396,4.21274343735706e-24,232.090853877325,2.13667067908393e-31,3.15410070615505e-22,6.01307532284281e-37,5.85939249982504e-05,0.000340630393354648,1.31006685401374e-26,4.09375904618795e-23,3.60804153553047e-43,2.52994831357565e-08,3.32398350017118e-11,1.43535338482743e-47,9117.49474540357,4.33284428936674e-17
"Signature3",22.2182940578789,4.22202471629262e-110,1.38000332760639e-49,17075.3837067082,4.0053028029884e-109,33766.0161364843,24404.2050898392,190.616600868351,586.853128587368,1674.7823214556,1833.6838729478,95.2190639286606,6.24162318864891e-99,3487.76717826276,458.654873034093,409.199192596651,15.6438501986892,694.392496245138,9.78944097090252,1944.97114504281,68.9145558665481,3495.53099605936,235.371484592399,1206.36944200757,2554.43492729647,7.19271309397169e-43,2158.46243660068,517.413267848973,726.322602478713,8.28257283443793,1226.85591028009,1078.82320554203,235.10878569077,1.97359839110757,381.535118665934,5.65246313703364e-08,1040.37390251403,2161.36539781604,430.64642222433,2302.00064722217,1793.104241374,3.94147827461992e-102,9.65485150278798e-87,2467.42520443614,1885.86680587697,1771.35146852141,910.36763288331,1129.29567967984,1189.24737260846,999.424648148777,1569.74597446052,2093.73549578576,1399.91117105765,1143.53621824779,1723.66824956721,759.714081947599,3270.04016069479,9630.29306229481,2.05794027850977e-75,4311.10136733546,1036.24568869082,1449.03414414982,2390.41525971616,648.354843090522,340.668783818846,1644.80635752444,2962.94074208803,2095.96421910473,90.6668778909303,5.77829213796769e-163,3598.07250559536,5314.84164560378,1318.73137221362,3.27658270607472e-08,816.122383205651
"Signature4",40.1623214353811,4.62677395525283e-50,284.583667243614,0.0495165629957474,1.89583640954846e-54,4.90209960508083e-16,3.70905914560652e-68,292.509932877042,781.921864490076,2432.34819821076,1810.8245638658,5469.22064077116,1140.17638609292,3613.90498636501,1373.93472566518,2675.84841443093,2.13288626394516e-11,3438.83999355928,18.0595403231272,4380.10446345891,123.069184060242,3256.59987477908,1074.01420520326,1.8178834635666e-44,4871.3496310344,1745.02973904331,1406.44637693572,904.394117818875,6054.60655130088,18.0755860575644,1310.98375288348,3373.19457349122,777.565898033608,4.43160176374387,57.8702966351802,812.581995893844,1549.1949821648,3642.22499000177,15268.5335346978,1573.43848842432,315.263572676756,1.83928436073735e-55,7.67857332755953e-39,2811.31798089303,1480.75337352535,4967.42002390162,473.763739633982,0.0140570615703189,0.00530731333065982,2088.90930093826,2653.97268891727,5562.64720310883,1159.6411511212,2089.83909041152,921.944491480211,2700.34099523686,9031.51799177173,1.0065235030294e-07,0.00665413767897407,3925.59678481583,1560.27856923514,3702.9286286245,3469.76376850264,283.062265702102,4542.82800352446,2927.45062259118,1.93782685654652e-18,6891.46736639351,4.68233532957289e-05,8.46175977883829e-94,1869.28564815418,2045.4446725518,1235.59088272322,5655.83999844002,5390.22856127015
"Signature5",22.7527867627723,2.34831944546818e-24,0.385784865383465,9.07134729162555e-21,6.53653413104271e-34,1.62777856018343e-38,7.06287344464699e-23,62.4115551505714,466.966431591417,2443.55247473099,352.508907053729,1353.10482490726,4.09190808264318e-12,535.565676892601,393.346705302424,1.8238210178903e-08,9.74492839253294e-38,208.194090538212,7.15582554056389e-09,1669.59363424271,27.0757373961843,1187.28453317557,2919.08210418055,1423.05590335198,450.423233378218,3.70139766433538e-09,17.8483003231731,590.712574166754,1.66786689128959e-07,7.63584217178749,4.16101604591456e-33,217.790325358787,1021.72737117088,2.16732312659928e-90,282.731348854623,315.637067935438,60.0393029647566,974.716358073727,6.86347411530346e-05,1204.29341849568,918.16062662024,2.65538354233069e-37,1283.59731245773,2498.80622200966,1155.93537975645,590.566117060032,494.89762417821,1.87176277891384e-43,3.61477709889272e-25,617.676415604761,1872.72817885795,259.884774150134,709.047216069278,337.436201731692,1157.0419714911,3.79944210420459e-08,1284.26552701489,1.71445557044097e-14,9.64788644495172e-06,1677.81268336504,1166.37340211489,919.58984757702,917.627422745027,1619.91411593121,328.81406351694,843.193357280446,0.000400698018917231,2615.77617813581,409.112319182834,4.55980917231801e-77,1296.47927210801,151.16707253473,329.23902775581,2.56928988432531e-33,860.639317991788
"Signature6",20.2464927182568,3.73526117665758e-82,1611.64096490538,8.10335028106694e-50,5.71709231129242e-87,1.38612287542875e-55,1.87266897416636e-66,2387.33864420593,1320.31748128415,4874.12391914922,1903.05758851833,5432.75458569454,7.09670238102939e-25,1189.54718442386,1590.27886568505,359.266517873832,20.8574357792322,2345.3904254736,59.8311200972358,3493.13897712951,138.869510355281,4139.58459596048,1283.52195186787,2212.9578165817,1599.22401471011,5884.96735306279,4309.25533980656,498.174216504511,1298.1180152786,35.0093891698702,2965.32759019621,12367.9053267231,2919.55109669064,9.89902498344561,1260.53759970599,1355.54222330128,919.228463023702,2576.32120190857,1368.20891349855,1625.92733231076,2425.00341509845,2.80326879917797,9647.53795843069,2598.45059266117,7851.80820041757,1724.94205548512,2054.9710033045,5.56416524872542e-23,7990.162606397,11300.0418025306,1441.02666187383,1548.42420516661,2695.98477941995,6698.87863020395,2408.75852794258,3.62438302617833e-08,8384.84275482563,8.19388026764629e-36,58803.993336214,4133.33850275166,1908.48234376343,2437.55561282463,1731.03965803584,2985.0950271881,2230.95032376302,3129.14977076698,6.62172789294842e-30,4333.2591008622,10270.0016982284,1.77649759479169e-26,2679.80712633617,1616.27483693399,2069.43871730735,7660.8170819008,2176.84100949137
"Signature7",10.6201050257109,7.42747381449957e-93,8.04531006089498e-75,10940.1438095416,4.60662454976965e-81,26591.8626193506,2.72816753681816e-05,2.09278670653381e-08,138.041097086464,3.59478244973225,2.17941080736326e-36,977.94696476767,9.96613615339574e-83,1.4586282862216e-22,7.2571074130023e-57,7.96844090714592e-25,1.03111161075823e-25,1.90230230449285e-08,18.3198986015786,3.87564826610905e-08,1.1873607506563e-31,2.51869764035444e-16,0.000362290662595103,3.55770858745298e-63,6.1784724850635e-07,8.19407160300772e-11,5.14469643840309e-11,1.93542150257784e-10,6.50833285139776e-28,1.99660976633996,3.37417554543622e-30,44.9272899861704,131.171893454955,1.54126239413263e-30,202.062715007503,1.0651229897863e-28,2.3630755769527e-39,24.7457380691966,3196.59596402923,4.31568531166143e-11,4.02601760503346e-09,5.72349096163688e-68,1.72300930147105e-60,1.14761315941059e-24,7.76030335629214e-11,23.5995927610464,1.79245228390097e-35,16257.4613021071,5.2767502956752e-20,0.739692068418883,3.93613185573694e-15,340.169176848558,7.97112608032786,145.105053922382,4.32696189836951e-20,2.6758747689371e-30,263.768115019825,33214.1648152386,3.1349584861697e-10,1.27539845084023e-11,251.326778506146,113.384809738388,3.25676205773661e-05,0.000114313279851562,212.443171896213,2.48138393226598e-21,11410.5347232548,1.40635312238015,221.749701383901,3.31749395980305e-106,3.28160762350124e-15,1.7536580630874e-29,4.09400313469694e-26,0.832003167286059,436.979288057274
"Signature8",1.89621103704365e-51,2.73394170800805e-115,3.85719179327499e-108,38558.4196253768,3.32290005291146e-104,20301.1212441651,87834.1917192303,2.05960426833947e-25,0.00157105175671024,582.64691677756,3.73970247897291e-21,964.174886497114,1.90956432123426e-108,3.6250248701319e-14,1.81119840996518e-49,2.33846971348266e-31,3.31568849080917e-35,0.0631773871889541,1.95922694115565e-83,255.012773614135,2.06224701074893e-20,6.21422063612414e-11,50.7166748584838,5.57775530978235e-61,4.73493916431291e-12,2.28486663691539e-42,1.19267716653779e-24,1.94080385317692,5.18467006068456e-34,3.98219007082707e-21,2.16448008475704e-32,4.53088746397744e-10,9.36386102950633,7.86307636352943,1.82527283862876e-07,6.33127871017955e-12,5.16295546331779e-36,0.0842792094328975,3.01727784577449,121.339446791187,58.7635410515063,2.51044649125211e-82,7.75169996051164e-78,3.28260570483912e-13,9.97515715698132e-09,226.122904258354,6.43570994220203e-14,26891.9109253546,7.53836024270619e-27,48.4635858251608,6.52273102217348e-11,115.904293238978,520.079505913383,446.286356617666,37.5867573115138,1.19646260470787e-51,750.599953881384,44367.4509081944,6.19683272325261e-23,4.41286696402398e-07,0.033510510212586,412.372777664848,0.000510684599527017,0.460031494659013,18.2956534805163,19.112025302059,108201.104055014,198.730869888586,41.4679619102515,5.99311766715426e-125,2.49095288767057e-16,1.14952318732904e-36,4.1346200594142e-34,5.71714345753095e-06,0.0172391122241199
"Signature9",1.6948749836925e-223,12179.7866567981,2053.77034776434,6.14729363713884e-75,24124.9503282737,4.13687700376795e-91,5.26043377187382e-87,6.65811426261539e-40,202.018266576828,1539.39953365084,1901.96507501711,1284.52265782911,38506.7281917407,94.2149740557747,12268.7848204036,1675.77226382559,2.79063567163321,232.045471404417,1.08947624296327e-99,5980.14067411919,50.0449010793428,6.41868325810564e-24,8456.38713935632,6428.35432967729,366.657743503765,12902.6943148279,8116.51777486704,469.096406274338,14552.917339996,2.55829259455455e-73,9252.31756072076,538.550100480413,983.340174603342,0.914922693243873,1.97534814812964e-115,1348.11506028046,563.012659238484,903.898413018072,17023.4985168991,3.03357809247517e-61,7.67603075184112,64516.8952208824,45904.1957657235,3.53246221855764e-19,6425.32990138599,209.997838012176,1.92404397967808e-55,18121.7908148711,18828.3008876275,599.182735099806,2613.34077507339,1922.23485052647,1602.82075590921,460.791735513109,2.207381363196e-06,23351.4964882652,3196.50859724891,572.108406985289,7.10882585085192e-69,52.6465474053594,1.67551191320086e-42,3.54856169431194e-41,399.153347748115,1.17272433427708e-41,3.73211750484673e-105,3070.26704319351,7.18112860189864e-41,917.395912492776,1.10819734734536e-92,68027.4607280733,3075.35544778098,388.27177237567,3.59668241296676e-57,6878.01378825725,1852.12128822203
"Signature10",1.56355223985206e-110,1709.21334320192,440.619235221277,1.15779855876298e-29,3053.04967172629,9.24145002635177e-42,1.42741197715194e-39,6.67408137529381e-19,0.000265967968314373,6.77310437162738e-16,208.674446253978,4.37353737954634e-27,5840.09542216634,3.64640610968233e-21,9.90963982624825e-06,174.913611254757,1.07284843716852e-84,6.05264657368084e-16,3.56098471360254e-42,0.0383175081794426,0.0128370581780162,5.46562686377025e-46,65.8287401403075,0.000114515100287089,4.07035651180394e-28,4194.84496959696,1323.17764542991,145.121426291628,302.035490779061,3.14012350376797e-18,0.000101805465876237,8.81652184608448e-20,6.4401060254879e-16,4.18634235471465,1.51461486294009e-44,684.410118702549,5.66863231450909e-39,5.82000951915846e-20,3000.4130461312,8.78220070738446e-55,7.75939009936571e-33,187.301510318462,4.74443804476606e-23,4.0088983786106e-47,4.91775548931606e-06,3.07175025937579e-35,2.26191915427488e-74,1640.282804954,9.41520062019055e-05,2.98400186208627e-08,3.18572081696984,1.17465057045888e-06,1.60997796154937e-09,5.95160433617451e-08,9.59291335112982e-28,1772.44843447615,1.19768887294977e-15,0.100637272264288,7.11149828496033e-41,2.45403307895538e-30,1.24537027219351e-34,7.25955414959765e-39,1.60563551083657e-26,4.9869529347742e-36,4.20548110048696e-93,32.3587756243614,1.52277945605255,1.53745538458325e-35,4.55620451407816e-27,1.539271926671,1.93380443736451e-20,1.39600659594189e-38,1.31777381446035e-56,1.02193179728842e-40,0.0508668020088268
