"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106"
"Signature1",213.213820276283,2.58146357976948e-09,4.34785782584614e-07,1929.91045409525,70.5379535069461,4.05702216659177,3175.13858611075,267.45067177177,350.265299973157,2196.84274097,4525.9886336767,75.6103797849139,215.849744006539,2.54335755150235e-09,2.77713516831573e-08,2346.88437276455,1123.27494021511,214.586192667633,2.53373867504309e-09,846.634378936433,2.6609879994267e-05,133.571383153745,0.432112446282404,332.420809405261,2071.4612656508,39.2714174715295,3713.38081700112,42.0148920534719,191.994284973451,78.4900393329449,12036.3834110823,2451.30485634722,8568.41929103494,872.381225689706,2598.59562992817,1479.72176237808,21305.3473122173,4.69540242425879,1206.74036894612,49.8116870511439,598.909204719646,271.802719307028,29.1126037053916,659.516983832477,4.20021941551593e-07,2363.54384283765,6364.53918505435,348.760077599391,2909.40508404668,193.351768073687,1267.17799551455,640.854101528426,376.020514247371,1397.39437993529,204.922471043618,269.735714428172,1020.77152843355,278.607234801785,2.75203641873026e-09,328.789052675829,7617.8590862626,327.677182146802,615.389179226118,97.5168160293917,11942.051462343,451.156230535823,1531.96277787977,79.8375555281214,1999.55144908738,9.44614330635894e-05,695.535861292867,0.000836867856611993,4382.16588944232,343.569585348606,702.783123789186,81.4151056885186,1007.07755792378,984.305338995521,13452.8975286604,11.8307159532594,147.156381748183,2819.64920225027,892.232610200728,1100.01072657421,2517.78946439009,1449.93307008025,348.838781153973,8.14982923570143e-09,2.55730292332327e-09,1016.87002797124,362.204506404619,1517.3066191613,479.334766777495,1047.97680962878,2.72339262204108e-09,262.705682254751,419.522807409733,9621.42094911586,1299.03976829967,2.62209464534538e-09,636.988015097387,957.944216957839,169.540969765345,1236.18988157573,1879.90434361822,1009.12230032679,221.584777218576
"Signature2",2035.87862063574,20776.6292978793,9243.5378546127,5043.27092796788,1.0300413326747e-08,4318.38616855234,1825.0288837133,92.7612103567283,34.5400682763842,12537.5849753417,4808.20981203985,1.31180022423559e-09,6245.2369439223,39909.5126167556,9316.16557899536,4410.62457209959,1664.75568562038,4264.74767545123,38220.6057442179,311.407444989693,0.19179424208629,1.246823000996e-09,2030.13917921759,465.720566728411,5100.68586854902,21.1380190604859,3107.61949108679,1.24901254595864e-06,0.792360812063948,3850.95791373949,14258.8981933186,22288.8030209103,21765.637492038,3486.29962373563,3925.98271906063,1707.12500743847,1075.6715738959,1.20394892231064e-09,3786.13316752348,1937.3720590751,3305.60934644244,1.31617619607661e-09,0.00168893549080488,1921.34230269346,3624.73336134335,7353.21012339577,16871.7539118273,0.40933261951859,11631.1185882916,1184.49602031756,6689.62480392654,175.175228058369,1.4744361276002e-06,209.995607900913,8818.26604002006,1.20694766647086e-09,5754.92573973757,0.00312865978930229,22874.8644236857,2001.07351538367,10771.7346917083,1.25843278739279e-09,8558.58469381311,0.0010624881698905,7.22537726264262e-09,234.52555819964,3463.52418276001,4274.72448319508,7892.46672981454,7264.17340310595,24113.2416229403,309.348268653367,5370.23982345481,2632.67862579764,1359.77769649648,209.119845549261,5567.856260374,2009.35969722153,3627.57319508527,1581.05962541551,1.33693944171675e-09,555.873639288626,39.5028961414855,6022.80300095683,88.5657595731934,8015.83611574731,1393.08152345268,4300.79277793695,6833.07518630481,2511.63274570616,23074.0162806769,5054.48599522444,1248.41217803482,1581.67269757039,9520.38618201584,0.280606921765379,518.657269448933,2128.14542202271,4861.29804042028,2738.10328050739,1770.05442322322,8265.62359245449,1688.62421624562,36974.3536940454,3517.07777437351,2158.30600334679,76.1549772231602
"Signature3",786.330165932167,2.58146357976948e-09,2.63107677050453e-09,4103.08168767587,706.179306481697,2.55010266448706e-09,5915.07331650646,908.404952585061,1035.4175344,1138.5931682239,14029.9205754005,312.736857494928,1908.0640928387,2.54335755150235e-09,0.00109972624633285,17577.7382103427,10014.3842708003,2659.60582602516,2.53373867504309e-09,2109.61627824016,195.464709834191,669.265073335744,713.663661404042,3258.72236896346,3314.89199852075,1153.82033844832,1392.91020895627,1.15481571413313e-09,621.275886575352,399.671466813729,31856.9745394946,1808.10362850574,20568.3689599598,0.0382986884672195,4962.15179488203,210.018639856947,44.9550536805464,3.78574516344978e-09,4446.38453122497,2312.13075108232,3046.76159245854,713.268482431834,331.551362673735,1541.44567424635,840.209503259839,8373.62203304196,5868.72965026589,1627.84834437963,21986.6215968944,1018.47596085089,4136.93863911707,2969.50459487425,1582.87576202678,2709.29787209378,0.00132454451831457,452.493241357264,2499.41706798102,452.781254733984,0.00103497060878927,2546.749468964,25827.3393372532,511.236687788368,4227.29711881637,0.000202504499131288,1.40384585836483e-08,1578.08119904558,6505.25113344361,1143.87923311046,3997.20172759876,348.535691686955,6704.33937667339,2586.14582425522,12110.9141205465,3218.46284217044,6059.40136353332,36.4498874097037,2739.30867991446,4102.56697064741,32759.6709137525,69.1194945574843,869.969292848235,223.786101780339,1290.60235349626,2388.90009524715,1121.45402301731,4279.49853620225,3248.6624931932,4.21543566565978e-07,337.342291022545,3865.70522902392,633.886841447567,4614.57854306136,568.21259040641,1424.85411073737,2.66771128989687e-09,1707.59858664252,116.010196954652,59365.3652044372,5011.85178052025,0.000474305495304128,3195.82554750421,4634.83040927488,2712.75438428828,0.0279385369545766,2373.89424366253,4656.45775329383,1124.00880739633
"Signature4",2963.74209875068,14322.8004227205,9680.66811594986,3826.60562196791,6.80676872611886e-09,4811.91149401298,14096.9615278067,42.6580826644,1.35678884708269e-09,14881.0550042906,302.251557293101,1.31180022423559e-09,728.817378360039,21100.7257858287,10019.0041043493,25971.9682026191,3035.94057447079,357.625538536,21482.6101436965,0.665701087451942,0.0147837725920593,7.22461590646326e-08,8957.22047493553,3333.57241628362,8239.29773089543,117.75387392982,360.914825005166,1.67373309092871e-09,26.0585357074944,1853.74453996759,13468.770215469,120588.770266356,10031.4055411901,18089.773127823,2122.27183354578,1417.51921676467,1749.10572079724,1.19328909434946e-08,461.114678193068,16585.7461554001,2421.33163505432,1.31617619607661e-09,0.442318983858278,4594.08765605086,10754.8624374656,7797.31724822909,9190.90401303032,41.6541743933639,15472.0593819889,112.144760860442,13360.3124476742,0.327311794733932,2.70012983644845e-09,6715.86964230633,9989.09095451112,8.97574757832098e-09,5169.95114099871,1.40752395392879e-09,28145.263308134,5930.18064941136,16049.4525964294,1.25843278739279e-09,17346.2236855177,2.5111675274608e-06,1.1648676987093e-06,3031.78294872166,4883.12285360945,9733.0160434548,1504.54589364732,15400.7105539126,39083.773230116,14782.1777746373,3171.05402844005,3402.53702856714,553.517241273526,0.0197530763378269,3830.89698223041,2303.92687177909,10519.6232166367,6957.61977402376,1.33693944171675e-09,2874.74327381348,1.3233802252878e-09,1643.82668262823,3242.03372792281,4481.08733671129,52.444779148338,12800.2342455498,15095.1088902054,1761.42835929145,37604.4819272054,9371.61008218028,53.5682457201985,1867.71741546831,33256.4360490103,1.28841384803932e-09,571.822521222176,6348.18299288381,3403.32327996276,1780.6984769114,1078.11084181889,5350.84543724975,579.466226608122,44196.7529428162,6809.34647976753,3098.59636497728,5.31677954552856e-06
"Signature5",7223.99059985809,18219.7521138708,9751.81750434238,5786.22148894374,4.49546063514787e-08,1563.12733411517,24594.2788761245,0.00292512787701737,1.35678884708269e-09,8339.48590438268,5563.05058892499,1.31180022423559e-09,6665.64514736577,11968.9885675118,17676.2512354751,37088.4330493601,8046.7533138534,705.623892126498,8137.0006170309,4.93488113593457,7.0721713807247e-09,1.17342094253076e-06,2338.29898966808,152.549056477629,17577.256484108,0.00506364042265158,2677.40598453913,3.62282775104769e-08,0.0013313756467202,2232.48626014665,70780.8701574644,27938.8479674379,45377.1919242673,13387.1328308059,14129.9895014101,5034.57335166331,989.622551399411,1.20394892231064e-09,3209.20694135603,1674.61702487501,6161.55825559993,1.31617619607661e-09,0.0359048532054421,6360.59831143561,539.781280026651,20854.3878665501,31600.0634357954,0.130882610756629,11076.1305750658,297.28825823489,2840.09554568058,0.00219183648855381,0.00199919425795439,16035.8160637001,11469.7252253664,1.20694766647086e-09,7265.25556699161,1.40752395392879e-09,9956.98291403241,6365.07187044991,29725.3269791804,2.87455846080397e-09,10702.3005532877,1.32126689481311e-09,1.13545288572742e-07,142.221551671405,7810.14454463407,2859.11185393749,17462.4676695874,9324.95554239144,6466.65960451954,2708.33929356284,25153.1580177079,5301.21900383395,4886.92762974344,140.82935624079,1822.10920985921,4304.4068681095,8310.50089422267,7402.4253605477,1.33693944171675e-09,3845.41895524055,6.63059464231553e-07,1662.37710579878,419.457760617208,2610.9354277655,1991.90213567184,44771.8360870952,4842.71594927418,6444.75799390517,2002.76998144048,12255.8122129434,151.026946679243,4786.65006347617,48195.7390391324,3.59007102404263e-06,42.3812845657807,34327.1211600411,3811.45490104539,5710.30726535051,5710.65090291353,7925.99654467595,686.148467244491,16802.7834346197,13197.7924618339,8311.7821019555,7.61509542937637e-05
"Signature6",10533.2516054806,17204.0579094718,10543.2796924236,10142.8901284409,206.751144461697,5688.37666394927,6197.51642420716,0.1594167080662,1.35678884708269e-09,20092.6503611976,4991.68392844092,1.31180022423559e-09,282.474643045202,26714.4328382989,7674.41835016123,57112.8983410676,4260.905597795,896.658189442569,14134.2464900918,0.96747339813884,0.0115082469331225,5.23750994021214e-08,7918.92251293658,490.441172557802,4828.77096347651,1757.28456480807,214.29805758846,1.06486156249736e-07,0.0988378395097333,4882.65800863973,59089.9636425778,48789.8059486061,32892.5232321207,17326.9102215144,1268.19790291843,6475.62855144778,13480.5195758593,5.24508014292513e-06,696.31951990867,14358.1298047657,2737.02822694576,1.31617619607661e-09,178.933636348047,6767.63889421422,9038.97313922118,11775.4762020296,27229.0504352942,0.000334433619939802,23719.3576604641,901.593151691383,22962.5340982093,2.64045012604801e-07,0.00786336932564462,9990.61164746613,10013.0214994355,1.20694766647086e-09,6214.74208936323,1.40752395392879e-09,14292.2951809126,6215.0945243145,23608.40953239,4.02146555318774e-08,17864.6082791656,1.32126689481311e-09,4.26505226157219e-06,1950.65647553903,3348.24192946248,13803.3727916006,789.347251189472,13621.0364286319,18075.6018755308,4805.39344831527,13855.5929424377,1487.80563962098,547.98152508867,217.964996019559,3831.73344401247,7553.48367679159,3061.45734623255,8374.29419989065,1.33693944171675e-09,4169.71804110189,1.3233802252878e-09,1520.94382820388,1539.0782711328,387.58521472506,200.04582034266,18768.7287716219,1236.48344969462,12418.1736052697,9030.94479277918,15270.2992543724,0.242296358385939,1249.65136981681,19261.9454684929,104.943505596861,0.00554302623343776,80537.2033867958,4575.9131847455,3059.409269248,4465.70141914279,9248.97091570043,332.99966087579,23292.2143406222,10678.0180530384,3310.79057767215,381.36288640407
"Signature7",1.29542909451504,11.4517239107544,2.94154349929425,1221.53912982318,217.119053677077,46.6429808911792,686.211890454434,527.517415651041,1.35678884708269e-09,16.7456472997757,6218.24282395111,8.41568773665081e-07,3624.93084742605,65.6653104987892,58.701327942845,1946.1410204058,5561.00101064738,4058.23118480708,542.802673060335,15.3989863019266,495.930625642907,1212.57822222996,180.660568838797,3962.77152539098,8814.88071428128,480.495977935547,4626.34067286572,3411.06251148657,1182.15667724518,75.7146470409626,8313.70078048862,1854.97899627376,2081.32457595657,49.7361092570753,3827.4799094662,75.6545020637363,2.28875368835868e-09,2979.11113705566,2646.26340463047,5825.07524636525,1189.70461469378,0.000107952310594761,452.424177863034,225.071031939935,15.8681451850183,3380.24945306877,8662.29274468441,2132.59581800801,4373.47468027158,315.779056034841,535.845769414408,2639.20933623361,3092.96892682583,612.431016154833,0.220194456759054,3788.44153763366,4695.00998776516,1.18758690229328e-08,31.0280738511076,213.337347277645,18438.7756613244,1.25843278739279e-09,798.434801341882,970.751702879647,3927.2201466412,745.692949719114,3938.95915549243,85.468070628634,4605.34739101283,0.523729324452194,18718.4492672906,14589.0052675511,1323.90436314613,1771.7113664788,5226.16149095452,42.9501418360583,2574.07996998885,1486.00212953459,25577.6243695531,2.53230600034775e-08,1.33693944171675e-09,3160.99895761085,839.249565926759,1251.05748087348,2099.44520692408,3701.84960937185,5900.94639660445,11.5284169796969,348.863938460121,2039.38951071173,813.950893438412,232.046323047607,1690.41031548016,30.7254714826503,67.7553358941344,1.28841384803932e-09,892.156246036631,9698.33303176208,2886.73928960488,10.2981340869927,986.120484815972,740.776486045957,2411.09388475504,334.591830847154,203.105461677575,1479.57634330113,5.34833765790325e-06
"Signature8",24.7730365145124,475.630601646837,161.45844755902,10643.4476031884,1.41059805948761e-09,408.892177177553,11731.285539531,3.63963776062238e-07,258.893307267772,12631.8338116434,21934.2755876169,27.314308503454,2485.91696630727,605.23868016674,906.378637964503,1932.8489716318,1931.90423973289,0.00173911997459421,823.819328491614,508.012142897387,9.89555405620899e-06,2.79017102913922e-07,2.32529836708432e-06,2.64357556491275,14465.5888308092,1.80233433681061e-08,5889.92051716504,1.15481571413313e-09,1.3619977660475,0.000871274009322782,53024.074580102,11780.0502931732,30267.3164527022,3888.95291207674,12563.6574223526,10119.0796836511,12297.4085395472,1.20394892231064e-09,6676.49316612596,9.30572924575199e-06,2726.7277936834,448.902920088051,2.80052549080196e-07,2795.25575848865,5.24650621383696e-05,10834.1372525334,42550.7494837226,2.16195080240161e-05,876.680540006799,1295.0712490606,3371.28283199095,0.000542115103320766,1.11223279693622e-08,7258.71209816133,751.152258026364,287.869162794746,5590.9723109744,8.81676952366358e-08,847.293216986749,1559.90355062553,29119.3496711677,313.889350569345,0.0186317446453324,98.9050860939068,1.17503807873967e-09,1054.39388801503,2977.63333470964,1.27235834803091e-05,12782.5982547947,839.098337444765,10331.4285367033,0.130117586496735,18361.0693662571,1258.47708700309,2677.97457903043,461.14316257525,5760.19901527809,3870.0084092042,57950.7823072112,575.292126319272,1.33693944171675e-09,7412.48289068483,1.3233802252878e-09,6227.21954160397,7651.40605620918,5980.71107669827,620.020909768911,671.781007632811,347.841156949903,7359.98739058798,2645.34929283452,5612.86142974818,2153.07222948494,5560.8871010529,225.803700506725,1.28841384803932e-09,999.778487228385,19707.3586472748,8516.02123189055,139.035984691931,1280.06078979097,4475.17492456539,95.7500317893937,1568.43699344647,10441.2983437962,3232.40934279503,1.41843986812131e-09
"Signature9",6472.38215298482,16624.3542102586,2493.88679285776,3757.0137233739,1.32284484583516,2153.35717020596,10126.7823534805,133.37587676293,6.26115002611429e-09,9575.94837952006,2401.80566212882,1.31180022423559e-09,6967.17640798217,29117.2447978955,10881.3495923741,695.28525316711,2379.11342541312,1164.86732423203,34106.9043679581,305.419006026807,6.73387661767865e-06,39.8717801136804,1919.83871155458,1097.04577500857,24456.0137472937,0.00271185322318985,1534.49065472112,1.15481571413313e-09,13.758015348623,1573.57937210318,7095.48817902089,100481.724160773,17751.5675725856,6250.83106997127,4451.37499716574,2631.28786074506,12758.6773547853,60.7663216482881,3444.53320680638,123.381979615009,2372.0848524231,1.96469584758307e-06,13.1626382924162,4120.27690528093,641.607467773168,8040.57764699167,12619.7896814117,8.69823701550792e-07,9130.26825039866,883.755517935322,1531.20153784668,0.117806079911512,4.25685959127815e-09,1208.94583637288,7447.04546447154,0.00521130407958177,1812.99384831969,1.42295634245745e-05,28623.0998278688,2163.71104143852,9322.03301780482,1.25843278739279e-09,7420.080638833,1.32126689481311e-09,1.4598552483413e-09,840.162656468648,211.664563628478,1182.08199471886,6929.1611254018,6824.62026762596,101963.283388476,262.203681923521,13393.053925533,1980.40727046855,490.695467922685,0.183308747831416,1948.69869169698,1114.1812374879,8887.96835350521,2708.72974045526,2.62843539673105e-08,4665.24057892839,0.920253139647253,6751.55257077702,125.417198149268,2868.54926611197,906.667463574822,6799.20359102242,14244.2969868075,3395.65878951176,37940.6381423091,3004.30017103474,485.971474255072,360.797066869126,2228.41694188688,1.74898214567487e-07,534.480949264373,4143.76201450683,6180.80281496025,4175.75001713392,411.819208332048,9560.0474761306,909.440074024756,34375.7567263872,3836.16788856217,4912.10790459645,3.80271506993439e-06
"Signature10",3910.34262913432,12212.1480983706,10135.4963870819,4760.17992062878,6.00265881714224e-07,7111.38943605118,11391.8957403242,0.000852469212495751,3.25374630913216e-09,6369.10618093092,1566.61216935558,1.31180022423559e-09,2473.51613946972,12034.6750331326,11274.2401015256,29595.0362695699,3989.80675265025,2367.59410468956,5775.30665511376,2.34376823957261,0.0135690765578581,1.246823000996e-09,4177.59406317722,132.730356428927,57294.3297507805,57.9594590714831,12993.7314169639,1.63660208815663e-08,0.222603709272604,1110.04784670023,20339.3043595667,149015.892869873,2302.12805789457,20602.1641568077,3999.17555527386,263.341293944155,45855.2328016081,1.20394892231064e-09,3305.62514217137,4232.87376246819,1691.81258571156,1.31617619607661e-09,0.00834332255709269,3142.98609279808,7524.63280931907,12415.0267683449,29716.6921642256,1.53479222279514,2391.95381264663,46.6737873951269,8591.21544960972,3.9544689259896,0.000263859063775571,2073.158485491,5868.97667105871,1.20694766647086e-09,10519.1677685358,1.40752395392879e-09,5919.51945606487,3340.50913348449,37096.6768388118,1.25843278739279e-09,9087.54522699549,1.32126689481311e-09,6.67252674871666e-07,1201.32832618109,3690.83523356243,3223.49870888916,3321.31049176784,7748.57462773336,136632.848448975,4687.03910089959,3571.27929181348,5390.72772214169,3024.88726566511,1.74696651910426,573.55322414474,2185.3007147476,25412.9798053343,14595.7516400258,1.33693944171675e-09,7306.14451105847,1.3233802252878e-09,1000.518453694,11573.8651162742,857.136622580719,1236.79543037834,24223.2641567169,8747.73449735434,4839.74518885085,29522.0881381069,11453.7272653216,379.372271544252,1929.7255162287,5868.0386146551,1.28841384803932e-09,11.6814084497066,7672.97357284146,3590.96951022899,7147.23202136478,247.483778781752,4337.12128041948,1085.94549158174,3567.66528038259,1996.13260611643,2749.71922336349,4.97034439703582e-08
